event_id,time_utc,latitude,longitude,magnitude,depth_km,max_amplitude_bhz
11853826,2024-05-31T23:35:11.352000,-29.2616,-176.8031,4.7,10.0,762341
11847411,2024-05-31T23:11:38.370000,-29.2245,-177.0703,5.2,35.0,2156840
11854199,2024-05-31T21:11:46.936000,-29.3681,-176.706,4.7,10.0,398332
11847363,2024-05-31T21:06:59.698000,-29.5367,-176.8836,5.1,32.168,1340346
11852884,2024-05-31T20:21:17.045000,7.7277,126.9997,4.4,13.964,28878
11852877,2024-05-31T20:17:52.451000,-29.4695,-176.8344,4.3,10.0,201054
11852826,2024-05-31T19:54:08.099000,-29.2225,-177.0107,4.6,41.248,738802
11847326,2024-05-31T19:18:14.500000,19.5386,-65.7018,3.59,33.0,41332
11852818,2024-05-31T19:14:59.461000,-28.8213,-177.1714,4.6,43.504,207249
11847359,2024-05-31T19:02:03.195000,33.2332,132.3066,4.7,44.201,104797
11852812,2024-05-31T18:33:15.979000,23.3185,125.7093,4.2,19.905,3433
11847288,2024-05-31T17:44:26.820000,18.3186,-68.867,3.2,119.0,214507
11847262,2024-05-31T17:26:53.780000,34.471167,-119.1915,3.58,18.12,53412
11847301,2024-05-31T17:13:02.418000,-23.8214,-67.9292,4.2,143.744,18184
11847264,2024-05-31T17:10:59.093000,24.0173,121.548,5.2,25.392,35708178
11852774,2024-05-31T17:06:25.819000,-28.6949,-177.0513,4.5,19.862,235289
11854087,2024-05-31T16:00:24.177000,-29.3864,-176.8423,4.7,10.0,723058
11847245,2024-05-31T15:54:41.575000,-28.9482,-176.8762,6.2,19.694,39980516
11847380,2024-05-31T15:11:48.707000,53.6615,161.3737,4.1,30.564,211589
11852702,2024-05-31T13:44:09.057000,11.6643,-87.1342,4.3,40.909,367781
11852705,2024-05-31T13:31:06.416000,11.4589,-87.2794,4.4,38.871,563598
11851363,2024-05-31T11:59:57.753000,11.5803,-87.2147,4.2,45.83,283956
11847147,2024-05-31T08:12:20.420000,18.0925,-68.349,3.47,65.0,19822
11847141,2024-05-31T07:46:35.365000,-24.2423,-66.9783,4.5,180.997,12705
11847131,2024-05-31T07:26:56.774000,56.0022,-158.6095,3.2,72.106,64660
11849774,2024-05-31T04:23:12.995000,43.7603,145.1009,4.0,143.688,3460
11847048,2024-05-30T23:27:27.219000,51.4736,-176.2458,3.7,43.024,4985213
11847009,2024-05-30T23:13:18.080000,-18.0408,-69.1563,4.6,147.543,5734640
11847002,2024-05-30T22:54:37.665000,5.6407,126.0584,4.8,105.577,308739
11846962,2024-05-30T20:52:56.899000,5.9341,126.799,4.4,151.233,34040
11847237,2024-05-30T20:08:17.423000,1.9421,99.0285,4.2,132.193,3568
11846937,2024-05-30T19:46:44.277000,32.5892,130.5949,4.5,13.044,242116
11846925,2024-05-30T19:27:18.729000,40.0456,44.5163,3.6,10.0,2161757
11846901,2024-05-30T18:39:32.400000,19.6311,-68.787,3.0,25.0,216303
11846866,2024-05-30T15:52:17.056000,23.9164,121.7088,4.3,39.396,4338963
11853635,2024-05-30T15:27:11.677000,33.1535,140.6841,4.3,66.105,67754
11853630,2024-05-30T15:05:49.267000,5.2032,126.1199,4.6,10.0,20756
11853627,2024-05-30T14:37:43.435000,6.8079,-72.9871,4.4,155.391,6755
11856708,2024-05-30T12:09:50.310000,24.1257,121.6918,4.4,36.995,2323933
11846779,2024-05-30T08:21:35.794000,-15.418,-172.4112,4.9,10.0,740229
11851828,2024-05-30T06:06:28.811000,-24.2639,-67.0713,4.4,175.98,12181
11846719,2024-05-30T04:16:14.650000,18.8985,-68.5968,3.7,141.0,279154
11849876,2024-05-30T02:11:19.845000,51.8319,-171.2257,3.5,35.0,5048641
11849730,2024-05-30T02:10:35.824000,51.9847,-171.3105,3.6,35.0,5048641
