event_id,time_utc,latitude,longitude,magnitude,depth_km,max_amplitude_bhz,tsunami_flag_usgs
11919062,2024-12-31 23:13:20.048,-20.1826,-70.6231,5.0,35.0,8747495,0
11919543,2024-12-31 22:32:03.053,8.0192,127.2627,4.6,10.0,126737,0
11919024,2024-12-31 20:46:00.170,18.935667,-67.562167,3.39,56.28,52975,0
11919029,2024-12-31 19:48:00.249,52.8012,-169.0555,4.1,39.24,914441,0
11919014,2024-12-31 19:46:28.183,-5.1354,152.1814,4.6,60.51,289130,0
11923398,2024-12-31 19:44:15.393,12.5082,143.6985,4.4,97.386,1162512,0
11919008,2024-12-31 19:25:31.901,44.245,-115.1856,3.29,10.0,19620,0
11918972,2024-12-31 19:18:38.342,9.0825,40.0771,4.8,10.0,4710985,0
11918990,2024-12-31 18:52:07.759,24.3085,121.6904,3.9,30.38,2271114,0
11918927,2024-12-31 17:09:39.374,-4.05,151.6351,5.0,14.523,204196,0
11924289,2024-12-31 16:26:33.938,51.4544,-177.296,3.3,55.464,55560,0
11918871,2024-12-31 15:40:40.320,19.184667,-155.499167,3.1,31.08,51454,0
11921233,2024-12-31 11:53:47.561,-19.6821,-69.3835,4.5,101.481,3037801,0
11927164,2024-12-31 11:51:19.141,-29.7258,-178.2214,4.3,73.212,285153,0
11926979,2024-12-31 08:59:24.579,11.4863,-73.4098,4.5,34.096,150650,0
11918767,2024-12-31 08:14:09.088,55.722,-158.9152,3.2,60.1,39460,0
11918762,2024-12-31 07:31:13.750,17.873667,-66.927833,3.19,7.84,86825,0
11918759,2024-12-31 06:57:10.380,18.1425,-68.3616,3.58,83.0,26732,0
11926967,2024-12-31 05:51:59.273,-28.7474,-70.2097,4.2,97.247,1451763,0
11924401,2024-12-31 02:33:29.281,52.0004,178.641,3.9,174.866,5106447,0
11918598,2024-12-30 22:13:14.319,9.1889,40.0589,4.8,10.0,2030223,0
11923677,2024-12-30 21:41:39.500,-15.4455,167.5825,4.2,177.684,116822,0
11918564,2024-12-30 20:59:52.837,61.5947,-152.1825,4.0,115.8,28575,0
11918563,2024-12-30 20:40:23.686,39.0987,-118.9723,3.2,7.2,23402,0
11918435,2024-12-30 15:25:58.372,-24.166,-69.565,4.5,92.136,7401975,0
11918446,2024-12-30 15:19:39.180,18.123333,-67.6555,3.0,67.7,72973,0
11918480,2024-12-30 15:01:23.383,52.733,-168.2686,3.5,42.522,63773,0
11920874,2024-12-30 12:59:26.568,17.6121,-62.9143,4.1,110.988,413812,0
