event_id,time_utc,latitude,longitude,magnitude,depth_km,max_amplitude_bhz,tsunami_flag_usgs,is_ocean,is_steep_slope
11798255,2024-01-31 23:43:17.478,12.6093,-89.2963,4.6,45.259,22045,0.0,1,1
11798235,2024-01-31 23:07:12.081,37.3723,136.7898,4.2,8.748,309567,0.0,0,0
11800955,2024-01-31 21:38:28.230,-23.0039,-66.4105,4.5,228.041,14259,0.0,0,0
11798003,2024-01-31 19:21:27.249,41.3442,78.7416,4.1,10.0,774822,0.0,0,1
11800763,2024-01-31 17:05:57.676,14.0821,145.7731,4.2,91.253,2323276,0.0,1,1
11807967,2024-01-31 15:43:40.280,51.7706,-175.9004,3.0,74.112,125049,0.0,1,1
11798190,2024-01-31 14:32:43.664,51.1663,-178.9465,3.7,35.0,136378,0.0,1,1
11797804,2024-01-31 14:23:20.120,19.385167,-155.275833,3.5,0.95,92667,0.0,0,1
11797718,2024-01-31 11:57:27.200,18.175,-68.1966,3.64,77.0,53181,0.0,1,0
11797677,2024-01-31 10:05:04.404,12.2378,143.5884,4.8,34.731,1396627,0.0,1,1
11798187,2024-01-31 09:25:27.958,51.4363,179.253,4.0,30.003,139769,0.0,1,1
11797653,2024-01-31 08:22:44.500,19.0866,-65.0063,3.81,4.0,84709,0.0,1,1
11801399,2024-01-31 07:24:33.428,35.3892,141.7498,4.5,22.749,26,0.0,1,1
11797603,2024-01-31 04:25:26.609,-20.9376,-70.4645,4.6,61.666,8453578,0.0,1,1
11799185,2024-01-31 04:25:00.973,-21.2467,-67.658,4.1,227.965,14155,0.0,0,0
11810284,2024-01-31 03:29:33.255,-8.7093,159.2878,4.1,112.382,78775,0.0,1,0
11799664,2024-01-30 23:41:40.229,12.6353,-89.2879,4.2,35.0,14437,0.0,1,1
11797324,2024-01-30 17:58:05.570,19.193333,-155.492833,3.28,36.0,65971,0.0,0,1
11797298,2024-01-30 16:27:00.010,19.19,-64.9718,4.6,28.0,940290,0.0,1,1
11806773,2024-01-30 15:52:25.464,54.7527,-161.5831,3.0,50.946,47246,0.0,1,0
11797215,2024-01-30 10:36:39.286,11.5162,-87.0597,4.7,35.0,3487359,0.0,1,1
11797192,2024-01-30 08:43:06.770,19.226,-66.5985,3.31,14.88,47681,0.0,1,1
11797171,2024-01-30 06:27:35.452,37.1919,-104.7612,3.0,8.605,3781,0.0,0,0
11797166,2024-01-30 06:15:18.818,61.7278,-148.5574,3.9,9.0,7088914,1.0,0,0
11797123,2024-01-30 03:49:58.761,61.4042,-150.6873,3.5,57.4,86139,0.0,0,0
11797085,2024-01-30 02:13:23.718,57.2247,-156.5604,3.5,4.9,103675,0.0,0,0
11799032,2024-01-30 01:44:58.323,41.2507,78.7223,4.3,10.0,631018,0.0,0,0
11807303,2024-01-30 00:47:04.017,-14.6332,-172.5177,4.7,10.0,396775,0.0,1,0
11806449,2024-01-29 23:52:53.721,52.6501,-168.7572,3.1,35.0,162416,0.0,1,1
11797030,2024-01-29 22:42:33.462,44.4448,-130.0654,4.0,10.0,55553,0.0,1,0
11797004,2024-01-29 22:27:41.948,41.1985,78.6388,5.7,10.0,25023243,0.0,0,0
11796983,2024-01-29 21:38:33.921,13.5419,-88.6575,4.5,183.251,45670,0.0,0,0
11796954,2024-01-29 20:37:30.395,-31.4819,-69.2746,4.3,111.732,116999,0.0,0,1
11796939,2024-01-29 20:03:05.077,35.3911,141.2952,4.8,28.066,17,0.0,1,1
11796925,2024-01-29 20:00:52.820,19.245,-64.954,4.9,10.0,1441362,0.0,1,1
11797081,2024-01-29 19:14:45.632,66.7791,-135.6944,3.8,10.0,14226,0.0,0,0
11796885,2024-01-29 15:58:25.218,51.3238,-177.8437,4.0,52.912,295453,0.0,1,1
11806437,2024-01-29 15:50:01.437,53.5236,-166.2252,3.0,53.614,156662,0.0,1,1
11796825,2024-01-29 15:19:18.799,41.9718,142.3464,4.5,64.566,655953,0.0,1,0
11806439,2024-01-29 14:29:49.195,54.5118,-162.4841,3.0,81.342,23378,0.0,1,0
11796753,2024-01-29 14:20:47.667,64.4811,-146.965,3.4,9.4,7087843,0.0,0,0
11796800,2024-01-29 13:26:19.072,-22.8753,-68.0994,4.1,147.783,61882,0.0,0,1
11796997,2024-01-29 13:08:59.950,31.376,-114.259,3.14,5.96,12220,0.0,1,0
11799628,2024-01-29 12:06:49.363,6.3936,123.9331,4.2,546.964,19502,0.0,1,1
11796715,2024-01-29 09:26:50.940,18.6471,-68.6985,3.91,116.0,282901,0.0,0,0
11796717,2024-01-29 09:22:24.090,18.927,-65.5478,3.65,13.0,67556,0.0,1,1
11806211,2024-01-29 07:26:01.435,52.2679,-173.3845,3.3,114.8,30390,0.0,1,1
11796704,2024-01-29 05:35:11.056,65.6146,-165.275,3.3,5.9,7087140,0.0,0,0
11796673,2024-01-29 04:30:56.850,19.282,-154.921494,3.1,39.529999,51903,0.0,1,1
11798442,2024-01-29 01:49:38.496,-22.6246,-69.159,4.1,119.309,39099,0.0,0,0
11796604,2024-01-29 00:03:00.095,39.4074,-119.6995,3.5,8.8,9298,0.0,0,0
