magnitude,depth,max_amplitude_bhz,tsunami,is_ocean,is_steep_slope
4.6,45.259,22045,0.0,1,1
4.2,8.748,309567,0.0,0,0
4.5,228.041,14259,0.0,0,0
4.1,10.0,774822,0.0,0,1
4.2,91.253,2323276,0.0,1,1
3.0,74.112,125049,0.0,1,1
3.7,35.0,136378,0.0,1,1
3.5,0.95,92667,0.0,0,1
3.64,77.0,53181,0.0,1,0
4.8,34.731,1396627,0.0,1,1
4.0,30.003,139769,0.0,1,1
3.81,4.0,84709,0.0,1,1
4.5,22.749,26,0.0,1,1
4.6,61.666,8453578,0.0,1,1
4.1,227.965,14155,0.0,0,0
4.1,112.382,78775,0.0,1,0
4.2,35.0,14437,0.0,1,1
3.28,36.0,65971,0.0,0,1
4.6,28.0,940290,0.0,1,1
3.0,50.946,47246,0.0,1,0
4.7,35.0,3487359,0.0,1,1
3.31,14.88,47681,0.0,1,1
3.0,8.605,3781,0.0,0,0
3.9,9.0,7088914,1.0,0,0
3.5,57.4,86139,0.0,0,0
3.5,4.9,103675,0.0,0,0
4.3,10.0,631018,0.0,0,0
4.7,10.0,396775,0.0,1,0
3.1,35.0,162416,0.0,1,1
4.0,10.0,55553,0.0,1,0
5.7,10.0,25023243,0.0,0,0
4.5,183.251,45670,0.0,0,0
4.3,111.732,116999,0.0,0,1
4.8,28.066,17,0.0,1,1
4.9,10.0,1441362,0.0,1,1
3.8,10.0,14226,0.0,0,0
4.0,52.912,295453,0.0,1,1
3.0,53.614,156662,0.0,1,1
4.5,64.566,655953,0.0,1,0
3.0,81.342,23378,0.0,1,0
3.4,9.4,7087843,0.0,0,0
4.1,147.783,61882,0.0,0,1
3.14,5.96,12220,0.0,1,0
4.2,546.964,19502,0.0,1,1
3.91,116.0,282901,0.0,0,0
3.65,13.0,67556,0.0,1,1
3.3,114.8,30390,0.0,1,1
3.3,5.9,7087140,0.0,0,0
3.1,39.529999,51903,0.0,1,1
4.1,119.309,39099,0.0,0,0
3.5,8.8,9298,0.0,0,0
3.8,41.0,93756,0.0,1,1
4.2,204.353,15871,0.0,0,0
5.1,7.2,16757154,0.0,0,1
4.1,10.7,8005492,0.0,0,0
3.1,15.9,4010,0.0,0,0
3.05,9.28,980668,0.0,1,0
3.1,6.1316,91992,0.0,0,0
4.4,10.0,243875,0.0,0,0
4.1,10.0,20071,0.0,0,0
4.4,87.794,7621749,0.0,0,0
4.6,74.783,4243203,0.0,1,0
4.5,10.0,32756,0.0,1,1
5.1,70.051,5817205,0.0,1,0
4.2,118.139,18452,0.0,0,1
4.1,58.716,15341,0.0,0,1
4.3,10.0,14013,0.0,1,1
3.69,24.0,61209,0.0,1,1
4.4,10.0,28032,0.0,0,0
4.2,68.112,539648,0.0,1,0
3.03,2.07,30396,0.0,0,1
3.6,8.879,41773,0.0,0,0
4.5,54.684,51933,0.0,1,1
4.5,181.731,20404,0.0,1,1
4.5,119.519,733143,0.0,1,0
5.0,10.0,1553998,0.0,0,0
4.1,77.321,7844500,0.0,0,1
6.1,90.0,1574012,0.0,0,0
4.3,10.0,66718,0.0,0,0
4.5,16.13,91862,0.0,0,0
4.3,10.0,34505,0.0,1,1
4.2,10.0,174308,0.0,1,0
4.3,34.404,2949,0.0,1,0
4.18,2.78,135578,0.0,0,0
4.1,10.0,4839,0.0,1,0
4.3,32.123,7211,0.0,1,0
4.4,128.138,18173,0.0,0,0
4.4,272.127,3455,0.0,1,0
4.2,35.824,1019402,0.0,1,1
3.1,44.3,50917,0.0,1,0
3.3,3.096,953016,0.0,0,0
4.6,50.351,9064745,0.0,0,1
3.1,31.38,36809,0.0,0,1
4.5,10.0,137780,0.0,0,0
3.2,35.0,27444,0.0,1,1
3.8,42.0,74627,0.0,1,1
4.1,10.0,19733,0.0,1,1
4.7,10.0,661857,0.0,0,1
3.1,130.5,7085444,0.0,0,1
4.0,53.737,15794,0.0,1,0
4.4,55.183,1133664,0.0,0,1
4.7,80.334,2488246,0.0,1,0
5.3,10.0,14709785,0.0,0,0
4.5,10.0,29451,0.0,1,0
3.2,6.6971,55448,0.0,0,0
5.0,123.525,231332,0.0,0,0
4.7,177.048,38223,0.0,0,0
5.4,10.0,9984995,0.0,1,0
3.5,20.0,7086266,0.0,0,0
4.3,107.535,2274,0.0,0,0
4.4,10.0,2259976,0.0,0,0
4.5,15.78,1621631,1.0,0,0
5.1,10.0,3995012,0.0,0,0
3.5,128.1,45741,0.0,0,0
4.2,151.056,4975882,0.0,1,0
3.1,5.0,2448,0.0,0,0
3.3,10.2,6861592,0.0,0,0
4.4,10.0,23239,0.0,1,1
4.4,61.224,32641,0.0,1,0
4.3,133.308,35050,0.0,1,1
4.6,119.163,109285,0.0,1,1
5.0,67.683,15581,0.0,0,0
5.1,10.0,683206,0.0,0,0
4.2,10.0,32296,0.0,1,0
4.6,151.599,6035108,0.0,1,1
4.4,36.94,12229,0.0,1,0
4.2,196.551,2758,0.0,0,0
5.3,113.11,1086280,0.0,0,1
5.0,10.0,41369,0.0,1,1
3.3,0.1,6512667,0.0,0,0
3.01,55.27,76963,0.0,1,1
4.6,55.748,3371033,0.0,1,1
4.3,10.0,132964,0.0,0,0
3.4,14.0,7319742,0.0,0,1
4.8,10.0,21686,0.0,1,0
4.1,12.6,1451156,0.0,0,0
4.9,10.0,27053,0.0,1,1
4.6,121.805,6658304,0.0,0,1
3.3,180.283,26849,0.0,1,0
5.1,33.218,1290388,0.0,1,0
4.4,10.0,9441,0.0,1,1
4.2,46.298,422854,0.0,1,1
4.6,10.514,393581,0.0,1,1
4.9,125.704,415040,0.0,1,0
5.0,144.706,1269612,0.0,1,0
3.1,10.0,133119,0.0,1,1
4.5,148.334,62661,0.0,1,1
4.4,168.976,39585,0.0,0,0
3.5,12.216,624459,0.0,1,1
4.6,10.0,20874,0.0,1,1
3.0,11.73,66325,0.0,1,1
5.3,10.0,5131088,0.0,0,0
3.4,4.0,89190,0.0,1,1
4.2,67.382,148366,0.0,0,0
5.4,10.0,2112532,0.0,1,1
4.3,10.0,35469,0.0,1,1
4.7,152.431,42369,0.0,0,0
3.5,16.2,3698253,0.0,0,1
7.0,13.0,40866690,0.0,0,1
3.1,10.0,4990,0.0,1,1
4.3,10.0,97089,0.0,0,0
4.4,10.0,15979,0.0,1,0
3.1,7.6,52994,0.0,0,1
5.3,211.776,69872,0.0,1,0
4.5,77.356,9288971,0.0,0,1
4.6,191.376,51000,0.0,1,1
4.5,11.713,24750,0.0,1,1
3.3,55.9,5607096,0.0,0,0
4.0,10.0,49599,0.0,0,0
5.1,25.397,936512,0.0,0,0
4.0,51.0,286640,0.0,1,1
4.3,264.54,2644,0.0,0,0
4.5,10.234,119174,0.0,1,1
3.2,99.918,21775,0.0,1,0
4.3,205.001,12912,0.0,1,0
4.4,10.0,911960,0.0,1,1
4.7,35.0,23020,0.0,1,0
5.1,10.0,6482001,0.0,1,1
5.2,156.001,227933,0.0,0,1
3.1,16.484,5217,0.0,1,0
3.1,13.9,2209,0.0,0,0
3.1,64.7,5430160,0.0,0,0
3.68,38.0,37595,0.0,1,1
3.7,55.546,42087,0.0,1,0
3.4,8.3,35940,0.0,0,0
4.9,58.186,7208731,0.0,1,1
3.0,97.8,18539,0.0,1,0
