tsunami,magnitude,depth,latitude,longitude,Year,Month
0,5.1,6.1279,32.414,-102.057,2024,9
1,4.69,11.35,34.0703,-118.808,2024,9
1,3.94,4.84,34.0297,-117.586,2024,9
1,4.28,0.16,38.7765,-122.746,2024,9
1,4.39,10.98,34.0843,-118.185,2024,8
1,5.22,11.6,35.1108,-119.092,2024,8
1,4.4,10.0,50.622,-129.763,2024,7
1,5.2,10.0,48.9111,-128.445,2024,7
1,6.4,10.0,48.8127,-128.725,2024,7
1,5.7,10.0,48.6926,-129.003,2024,7
0,5.4,10.0,31.1773,70.6295,2024,9
0,5.4,224.338,36.543,71.2681,2024,8
0,5.9,20.71,34.1604,86.3895,2024,6
0,5.4,97.552,23.539,94.6946,2024,5
0,5.1,29.068,40.14,77.0348,2024,5
0,5.5,10.0,33.5485,81.8909,2024,4
0,5.4,8.0,42.0113,82.6416,2024,4
0,5.7,69.136,26.5566,97.0128,2024,4
0,5.6,10.0,33.5147,92.9795,2024,3
0,5.4,10.0,33.5068,93.0029,2024,3
0,5.4,10.0,41.1648,78.4389,2024,2
0,5.7,10.0,41.1867,78.7155,2024,1
0,5.3,3.426,41.2706,78.8219,2024,1
0,5.1,7.148,41.2186,78.724,2024,1
0,5.5,10.0,41.1979,78.6168,2024,1
0,5.4,10.0,41.3326,78.7686,2024,1
0,5.8,10.0,41.2946,78.6076,2024,1
0,7.0,13.0,41.2938,78.5937,2024,1
0,6.4,204.0,36.5061,70.5994,2024,1
0,5.1,10.0,33.2109,76.7733,2023,12
0,5.5,45.057,23.1278,90.927,2023,12
0,5.2,10.0,39.2438,97.2769,2023,12
0,5.7,15.733,21.226,99.333,2023,11
0,5.3,7.204,40.5164,77.7055,2023,11
0,5.7,12.0,28.8879,82.195,2023,11
0,5.4,10.0,39.2654,97.3075,2023,10
0,5.2,25.706,27.8679,84.7191,2023,10
0,5.7,13.0,29.5163,81.2118,2023,10
0,5.3,36.648,24.9743,92.2176,2023,8
0,5.8,209.0,36.4512,70.7023,2023,8
0,5.5,15.711,31.6412,131.796,2024,9
0,5.7,28.953,29.7999,130.855,2024,9
0,6.1,14.0,23.784,121.759,2024,8
0,5.4,11.732,24.3858,121.917,2024,8
1,6.5,402.166,47.1777,144.763,2024,8
0,5.3,18.196,31.8881,131.341,2024,8
0,7.1,24.0,31.7491,131.482,2024,8
