magnitude,dmin,gap,depth,latitude,longitude,tsunami,is_ocean,is_steep_slope
7.0,0.509,17.0,14.0,-9.7963,159.596,1,1,1
6.9,2.229,34.0,25.0,-4.9559,100.738,0,1,1
7.0,3.125,18.0,579.0,-20.0508,-178.346,1,1,1
7.3,1.865,21.0,37.0,-19.2918,-172.129,1,1,1
6.6,4.998,27.0,624.464,-25.5948,178.278,1,1,0
7.0,4.578,26.0,660.0,-26.0442,178.381,1,1,0
6.8,4.678,22.0,630.379,-25.9678,178.363,1,1,0
6.7,1.151,37.0,20.0,7.6712,-82.3396,1,1,1
6.8,2.137,92.0,20.0,18.33,-102.913,1,0,1
7.6,1.153,69.0,26.943,18.3667,-103.252,1,0,1
6.9,0.401,34.0,10.0,23.1444,121.307,1,0,1
6.5,0.43,54.0,10.0,23.029,121.348,1,1,1
7.0,2.977,45.0,137.0,-21.2077,170.239,1,1,0
7.6,3.158,12.0,116.0,-6.2237,146.471,1,0,1
6.6,8.454,34.0,12.0,29.7263,102.279,0,0,1
6.6,5.293,34.0,30.0,-32.6922,-178.959,1,1,1
7.0,5.276,22.0,33.729,17.5978,120.809,1,0,0
6.5,1.999,31.0,622.73,-9.0618,-71.1647,0,0,0
7.2,2.494,40.0,236.0,-14.8628,-70.3081,1,0,0
6.9,0.371,45.0,10.0,-54.1325,159.027,1,1,1
6.8,1.505,30.0,220.0,-23.6141,-66.7236,1,0,0
6.6,0.914,94.0,27.0,11.5538,-86.9919,1,1,0
7.0,2.705,26.0,10.0,-22.5732,170.349,1,1,0
6.9,2.697,42.0,10.0,-22.72,170.277,1,1,1
6.7,0.289,32.0,24.0,23.3421,121.636,1,1,1
7.3,2.936,29.0,41.0,37.7015,141.587,1,1,0
6.7,2.188,43.0,28.0,-0.6831,98.6034,0,1,0
6.6,0.827,46.0,24.0,-30.0528,-177.74,1,1,1
6.8,5.78,12.0,535.0,-23.7852,-179.968,1,1,0
6.5,3.026,22.0,110.0,-4.455,-76.9395,0,0,0
6.5,1.088,57.0,8.0,-29.535,-176.729,1,1,1
6.6,2.418,22.0,33.0,-6.9291,105.251,0,1,0
6.5,1.61607,108.0,37.0,52.502,-168.08,1,1,1
6.5,0.0,208.8,37.0,52.502,-168.08,1,1,1
6.6,0.507,49.0,19.0,52.6252,-168.15,1,1,1
6.7,0.936943,126.0,33.0,52.48,-167.736,1,1,1
6.7,0.0,205.2,33.0,52.48,-167.736,1,1,1
6.8,0.92,61.0,20.0,52.6563,-167.917,1,1,1
6.6,1.168,21.0,21.0,35.1456,31.9095,0,1,1
6.6,2.685,13.0,13.0,37.8167,101.299,0,0,0
7.3,3.713,19.0,165.49,-7.5924,127.581,0,1,1
7.3,1.025,32.0,14.27,-7.6033,122.2,1,1,0
7.5,4.951,40.0,126.0,-4.4898,-76.8461,1,0,0
6.6,3.259,15.0,12.0,23.5414,126.48,1,1,1
6.9,0.0,0.0,51.6,56.2581,-156.492,1,1,0
6.9,4.778,31.0,535.0,-21.1704,174.54,1,1,0
7.3,4.493,32.0,527.0,-21.1036,174.895,1,1,0
6.5,0.993,114.0,21.0,12.1598,-87.8542,1,1,1
7.0,0.07,43.0,20.0,16.9502,-99.7877,1,0,1
7.1,9.799,32.0,6.0,-60.3026,-24.9992,1,1,0
6.6,8.865,19.0,7.0,-60.1023,-24.4608,1,1,1
6.9,0.579,54.0,93.0,-14.892,167.085,1,1,1
6.9,8.363,48.0,16.7,-58.3814,-23.3318,1,1,0
7.2,1.178,23.0,10.0,18.3521,-73.4804,1,0,1
6.9,0.0,0.0,33.3,55.2364,-157.707,1,1,0
6.9,1.173,36.0,20.74,55.2657,-157.68,1,1,0
8.1,7.463,78.0,22.79,-58.4157,-25.3206,0,1,1
7.5,7.227,38.0,47.23,-57.5959,-25.1874,1,1,1
7.1,1.273,25.0,55.14,6.4547,126.742,1,1,1
8.2,0.875,66.0,46.66,55.4742,-157.917,1,1,0
8.2,0.0,0.0,35.0,55.3154,-157.829,1,1,0
6.7,8.139,12.0,110.0,13.6989,120.713,1,1,0
6.7,1.395,61.0,10.0,7.5904,-82.8813,1,1,1
6.5,7.994,24.0,25.0,-30.2144,-177.773,1,1,1
6.5,4.518,44.0,10.0,-16.4796,-177.356,1,1,0
7.3,4.655,9.0,10.0,34.5861,98.2551,0,0,0
6.7,1.487,37.0,11.0,0.1684,96.6475,0,1,0
6.7,10.669,45.0,10.0,-17.2495,66.3745,0,1,0
6.9,2.619,35.0,43.0,38.2296,141.665,1,1,0
6.5,5.931,20.0,246.0,-21.6857,-177.064,0,1,0
6.5,10.405,19.0,301.0,-18.9204,-176.235,0,1,0
7.0,2.378,35.0,43.0,38.4752,141.607,1,1,0
6.6,3.183,18.0,13.23,54.7018,163.208,1,1,1
6.5,11.764,25.0,24.0,-28.4792,-176.619,0,1,1
8.1,0.739,21.0,28.93,-29.7466,-177.224,1,1,1
7.4,0.437,30.0,43.0,-29.6131,-177.842,1,1,0
7.3,0.918,24.0,10.0,-37.596,179.544,1,1,1
7.1,3.085,11.0,43.98,37.6856,141.992,1,1,0
7.7,7.989,15.0,10.0,-23.2787,171.489,1,1,0
6.9,1.55,16.0,15.0,-61.8484,-55.559,1,1,0
7.0,2.821,15.0,80.0,5.0074,127.517,1,1,1
6.7,2.043,22.0,10.0,51.2407,100.443,0,0,0
6.7,1.319,19.0,10.0,-39.3264,-74.9067,1,1,1
7.0,1.518,18.0,21.0,37.8973,26.7953,0,1,0
7.6,0.23,36.0,28.37,54.662,-159.675,1,1,1
6.9,11.255,16.0,10.0,0.9604,-26.8332,1,1,0
6.5,0.388,49.0,16.0,-27.9285,-71.3937,0,1,1
6.8,0.312,69.0,21.0,-28.013,-71.1958,1,1,1
6.5,15.394,31.0,10.0,0.8696,-29.7046,0,1,0
6.9,2.267,20.0,624.0,-6.6704,123.493,0,1,0
6.9,1.716,25.0,26.0,-4.2791,101.215,0,1,1
6.8,1.816,34.0,22.0,-4.3724,101.095,0,1,1
6.6,5.128,14.0,10.0,12.0065,124.13,1,1,0
7.8,0.621,60.0,28.0,55.1079,-158.477,1,1,0
7.0,1.671,18.0,73.0,-7.847,147.755,1,1,1
6.6,1.458,14.0,533.76,-5.6368,110.678,0,1,0
7.4,0.151,30.0,20.0,15.9163,-95.9533,1,0,1
7.4,4.035,23.0,10.0,-33.2938,-177.838,1,1,1
6.6,2.015,18.0,165.0,28.9386,128.262,1,1,0
6.8,1.164,21.0,112.0,-23.2966,-68.4204,1,0,0
6.5,0.357,55.79,2.7,38.1689,-117.85,0,0,0
6.6,3.403,12.0,107.0,-12.0662,166.648,1,1,1
6.8,1.921,16.0,96.0,-6.7762,129.785,0,1,0
6.5,1.293,19.0,10.0,34.1818,25.7101,0,1,1
6.5,0.885,31.0,12.06,44.4646,-115.118,0,0,0
7.5,4.109,12.0,57.8,48.9638,157.695,1,1,1
7.0,4.501,25.0,143.0,45.6161,148.959,1,1,0
7.7,1.657,26.0,14.86,19.4193,-78.756,1,1,1
