magnitude,depth,latitude,longitude,Year,Month,is_ocean,is_steep_slope,horizontal_count_1y_full,vertical_count_1y_full,tsunami
7.0,14.0,-9.7963,159.596,2022,11,1,1,1,1,1
6.9,25.0,-4.9559,100.738,2022,11,1,1,0,1,0
7.0,579.0,-20.0508,-178.346,2022,11,1,1,1,1,1
7.3,37.0,-19.2918,-172.129,2022,11,1,1,0,1,1
6.6,624.464,-25.5948,178.278,2022,11,1,0,3,2,1
7.0,660.0,-26.0442,178.381,2022,11,1,0,3,2,1
6.8,630.379,-25.9678,178.363,2022,11,1,0,3,2,1
6.7,20.0,7.6712,-82.3396,2022,10,1,1,0,1,1
6.8,20.0,18.33,-102.913,2022,9,0,1,0,2,1
7.6,26.943,18.3667,-103.252,2022,9,0,1,0,2,1
6.9,10.0,23.1444,121.307,2022,9,0,1,5,1,1
6.5,10.0,23.029,121.348,2022,9,1,1,5,1,1
7.0,137.0,-21.2077,170.239,2022,9,1,0,2,3,1
7.6,116.0,-6.2237,146.471,2022,9,0,1,1,0,1
6.6,12.0,29.7263,102.279,2022,9,0,1,1,0,0
6.6,30.0,-32.6922,-178.959,2022,8,1,1,1,1,1
7.0,33.729,17.5978,120.809,2022,7,0,0,1,1,1
6.5,622.73,-9.0618,-71.1647,2022,6,0,0,0,1,0
7.2,236.0,-14.8628,-70.3081,2022,5,0,0,1,0,1
6.9,10.0,-54.1325,159.027,2022,5,1,1,1,0,1
6.8,220.0,-23.6141,-66.7236,2022,5,0,0,2,1,1
6.6,27.0,11.5538,-86.9919,2022,4,1,0,0,4,1
7.0,10.0,-22.5732,170.349,2022,3,1,0,0,1,1
6.9,10.0,-22.72,170.277,2022,3,1,1,0,1,1
6.7,24.0,23.3421,121.636,2022,3,1,1,2,1,1
7.3,41.0,37.7015,141.587,2022,3,1,0,0,5,1
6.7,28.0,-0.6831,98.6034,2022,3,1,0,1,1,0
6.6,24.0,-30.0528,-177.74,2022,3,1,1,0,19,1
6.8,535.0,-23.7852,-179.968,2022,2,1,0,2,0,1
6.5,110.0,-4.455,-76.9395,2022,2,0,0,0,2,0
6.5,8.0,-29.535,-176.729,2022,1,1,1,0,19,1
6.6,33.0,-6.9291,105.251,2022,1,1,0,0,1,0
6.5,37.0,52.502,-168.08,2022,1,1,1,0,3,1
6.5,37.0,52.502,-168.08,2022,1,1,1,0,3,1
6.6,19.0,52.6252,-168.15,2022,1,1,1,0,3,1
6.7,33.0,52.48,-167.736,2022,1,1,1,0,3,1
6.7,33.0,52.48,-167.736,2022,1,1,1,0,3,1
6.8,20.0,52.6563,-167.917,2022,1,1,1,0,3,1
6.6,21.0,35.1456,31.9095,2022,1,1,1,0,1,0
6.6,13.0,37.8167,101.299,2022,1,0,0,1,0,0
7.3,165.49,-7.5924,127.581,2021,12,1,1,0,1,0
7.3,14.27,-7.6033,122.2,2021,12,1,0,1,0,1
7.5,126.0,-4.4898,-76.8461,2021,11,0,0,0,1,1
6.6,12.0,23.5414,126.48,2021,11,1,1,0,1,1
6.9,51.6,56.2581,-156.492,2021,10,1,0,1,2,1
6.9,535.0,-21.1704,174.54,2021,10,1,0,2,0,1
7.3,527.0,-21.1036,174.895,2021,10,1,0,2,0,1
6.5,21.0,12.1598,-87.8542,2021,9,1,1,0,1,1
7.0,20.0,16.9502,-99.7877,2021,9,0,1,0,1,1
7.1,6.0,-60.3026,-24.9992,2021,8,1,0,1,3,1
6.6,7.0,-60.1023,-24.4608,2021,8,1,1,1,4,1
6.9,93.0,-14.892,167.085,2021,8,1,1,2,2,1
6.9,16.7,-58.3814,-23.3318,2021,8,1,0,0,4,1
7.2,10.0,18.3521,-73.4804,2021,8,0,1,1,0,1
6.9,33.3,55.2364,-157.707,2021,8,1,0,1,2,1
6.9,20.74,55.2657,-157.68,2021,8,1,0,1,2,1
8.1,22.79,-58.4157,-25.3206,2021,8,1,1,0,5,0
7.5,47.23,-57.5959,-25.1874,2021,8,1,1,0,4,1
7.1,55.14,6.4547,126.742,2021,8,1,1,1,3,1
8.2,46.66,55.4742,-157.917,2021,7,1,0,1,2,1
8.2,35.0,55.3154,-157.829,2021,7,1,0,1,2,1
6.7,110.0,13.6989,120.713,2021,7,1,0,0,2,1
6.7,10.0,7.5904,-82.8813,2021,7,1,1,3,0,1
6.5,25.0,-30.2144,-177.773,2021,6,1,1,0,12,1
6.5,10.0,-16.4796,-177.356,2021,5,1,0,2,0,1
7.3,10.0,34.5861,98.2551,2021,5,0,0,1,0,0
6.7,11.0,0.1684,96.6475,2021,5,1,0,0,2,0
6.7,10.0,-17.2495,66.3745,2021,5,1,0,1,0,0
6.9,43.0,38.2296,141.665,2021,5,1,0,1,4,1
6.5,246.0,-21.6857,-177.064,2021,4,1,0,2,0,0
6.5,301.0,-18.9204,-176.235,2021,4,1,0,2,0,0
7.0,43.0,38.4752,141.607,2021,3,1,0,1,3,1
6.6,13.23,54.7018,163.208,2021,3,1,1,1,0,1
6.5,24.0,-28.4792,-176.619,2021,3,1,1,0,12,0
8.1,28.93,-29.7466,-177.224,2021,3,1,1,1,12,1
7.4,43.0,-29.6131,-177.842,2021,3,1,0,1,12,1
7.3,10.0,-37.596,179.544,2021,3,1,1,1,1,1
7.1,43.98,37.6856,141.992,2021,2,1,0,1,2,1
7.7,10.0,-23.2787,171.489,2021,2,1,0,1,7,1
6.9,15.0,-61.8484,-55.559,2021,1,1,0,0,1,1
7.0,80.0,5.0074,127.517,2021,1,1,1,0,2,1
6.7,10.0,51.2407,100.443,2021,1,0,0,0,1,0
6.7,10.0,-39.3264,-74.9067,2020,12,1,1,0,1,1
7.0,21.0,37.8973,26.7953,2020,10,1,0,0,1,0
7.6,28.37,54.662,-159.675,2020,10,1,1,1,2,1
6.9,10.0,0.9604,-26.8332,2020,9,1,0,1,0,1
6.5,16.0,-27.9285,-71.3937,2020,9,1,1,0,3,0
6.8,21.0,-28.013,-71.1958,2020,9,1,1,0,3,1
6.5,10.0,0.8696,-29.7046,2020,8,1,0,1,0,0
6.9,624.0,-6.6704,123.493,2020,8,1,0,0,1,0
6.9,26.0,-4.2791,101.215,2020,8,1,1,0,2,0
6.8,22.0,-4.3724,101.095,2020,8,1,1,0,2,0
6.6,10.0,12.0065,124.13,2020,8,1,0,1,0,1
7.8,28.0,55.1079,-158.477,2020,7,1,0,0,2,1
7.0,73.0,-7.847,147.755,2020,7,1,1,1,0,1
6.6,533.76,-5.6368,110.678,2020,7,1,0,0,2,0
7.4,20.0,15.9163,-95.9533,2020,6,0,1,0,1,1
7.4,10.0,-33.2938,-177.838,2020,6,1,1,1,0,1
6.6,165.0,28.9386,128.262,2020,6,1,0,1,1,1
6.8,112.0,-23.2966,-68.4204,2020,6,0,0,0,1,1
6.5,2.7,38.1689,-117.85,2020,5,0,0,1,0,0
6.6,107.0,-12.0662,166.648,2020,5,1,1,0,3,1
6.8,96.0,-6.7762,129.785,2020,5,1,0,2,1,0
6.5,10.0,34.1818,25.7101,2020,5,1,1,0,1,0
6.5,12.06,44.4646,-115.118,2020,3,0,0,0,0,0
7.5,57.8,48.9638,157.695,2020,3,1,1,0,1,1
7.0,143.0,45.6161,148.959,2020,2,1,0,0,1,1
7.7,14.86,19.4193,-78.756,2020,1,1,1,1,0,1
6.7,10.0,38.4312,39.0609,2020,1,0,0,1,0,0
6.8,18.0,6.6969,125.174,2019,12,0,0,5,1,1
7.1,33.0,1.6213,126.416,2019,11,1,0,1,4,1
6.5,577.0,-21.9449,-179.511,2019,11,1,0,1,1,0
6.6,10.0,-18.5747,-175.272,2019,11,1,0,3,0,1
6.5,10.0,6.9098,125.178,2019,10,0,0,2,2,1
6.6,15.0,6.7567,125.008,2019,10,0,0,2,2,1
6.7,11.0,-35.4758,-73.163,2019,9,1,1,0,2,1
6.5,12.26,-3.4528,128.37,2019,9,1,1,1,0,1
6.6,591.0,-20.3641,-178.57,2019,9,1,0,0,2,1
6.6,16.0,-60.2152,-26.5801,2019,8,1,0,2,1,1
6.9,49.0,-7.2822,104.791,2019,8,1,0,0,1,0
6.8,25.0,-34.2364,-72.3102,2019,8,1,1,0,1,1
6.6,181.0,-16.1985,167.998,2019,7,0,1,1,2,1
7.2,18.98,-0.5858,128.034,2019,7,0,0,1,0,1
6.6,10.0,-18.2242,120.358,2019,7,1,0,1,0,0
6.9,35.0,0.5126,126.189,2019,7,1,0,1,1,0
7.1,8.0,35.7695,-117.599,2019,7,0,0,0,0,0
7.3,212.0,-6.4078,129.169,2019,6,1,1,1,1,1
7.3,46.0,-30.6441,-178.1,2019,6,1,0,2,7,1
6.6,57.92,13.1994,-89.3056,2019,5,1,0,1,1,1
8.0,122.57,-5.8119,-75.2697,2019,5,0,0,0,1,1
7.6,10.0,-4.051,152.597,2019,5,1,1,1,2,1
7.1,146.0,-6.9746,146.449,2019,5,0,0,0,1,1
6.8,15.46,-1.8146,122.58,2019,4,1,0,1,0,1
6.5,38.0,-58.6262,-25.304,2019,4,1,1,1,2,1
7.0,267.0,-14.7131,-70.1546,2019,3,0,0,0,1,1
7.5,145.0,-2.1862,-77.0505,2019,2,0,0,0,2,1
6.7,66.0,14.6802,-92.4527,2019,2,1,0,1,0,1
6.7,13.0,-43.1219,42.3568,2019,1,1,0,0,2,0
6.7,63.0,-30.0404,-71.3815,2019,1,0,1,0,2,1
6.6,35.0,-13.336,166.875,2019,1,1,1,0,3,1
6.6,43.21,2.258,126.758,2019,1,1,0,1,1,1
6.8,570.41,-8.144,-71.587,2019,1,0,0,0,1,0
7.0,60.21,5.8983,126.921,2018,12,1,1,1,2,1
7.3,16.56,55.0999,164.699,2018,12,1,1,3,1,1
7.1,133.0,-58.5446,-26.3856,2018,12,1,1,1,1,1
6.6,10.0,-22.0629,169.733,2018,12,1,1,1,5,1
7.5,10.0,-21.9496,169.427,2018,12,1,1,1,5,1
7.1,46.7,61.3464,-149.955,2018,11,0,0,0,0,1
6.8,540.0,-17.8735,-178.927,2018,11,1,0,4,1,1
6.7,10.0,71.6312,-11.2431,2018,11,1,0,1,0,1
6.8,14.0,37.5203,20.5565,2018,10,1,1,1,0,0
6.5,10.0,49.297,-129.724,2018,10,1,0,3,0,0
6.8,10.0,49.3346,-129.289,2018,10,1,0,3,0,1
6.5,10.0,49.2586,-129.412,2018,10,1,0,3,0,1
6.5,17.0,-21.7427,169.522,2018,10,1,1,1,10,1
6.7,461.0,52.8549,153.243,2018,10,1,0,1,0,1
6.5,20.0,49.2902,156.297,2018,10,1,1,0,3,1
