magnitude,depth,latitude,longitude,Year,Month,is_ocean,is_steep_slope,horizontal_count_1y_full,vertical_count_1y_full,tsunami,usgs_match_count
5.4,10.0,41.3326,78.7686,2024,1,0,1,1,0,0,1
5.1,6.1279,32.414,-102.057,2024,9,0,0,0,0,0,1
6.1,33.882,12.998,-89.5623,2024,8,1,1,1,2,0,1
5.4,10.0,18.2141,-105.628,2024,4,1,0,0,0,0,1
5.6,10.0,26.2173,-110.508,2024,4,1,0,0,0,0,1
5.5,154.0,11.1362,-85.3425,2024,4,0,0,0,0,0,1
5.6,48.0,12.3515,-87.6834,2024,3,1,0,1,0,0,1
5.6,9.0,9.7781,-86.3237,2024,3,1,1,0,0,0,1
5.1,28.58,54.5455,-159.689,2024,8,1,1,0,0,1,1
5.6,34.21,54.1094,-159.702,2024,8,1,1,0,0,1,1
5.6,16.0,39.9972,35.9796,2024,4,0,0,0,0,0,1
5.8,26.873,37.3286,21.3156,2024,3,1,1,0,0,0,1
5.4,16.067,42.9936,18.6796,2024,3,0,0,0,0,0,1
5.4,17.533,37.9845,-9.538,2024,8,1,1,0,0,0,1
5.8,26.873,37.3286,21.3156,2024,3,1,1,0,0,0,1
5.4,16.067,42.9936,18.6796,2024,3,0,0,0,0,0,1
5.4,10.0,11.7428,43.3665,2024,1,1,0,0,0,0,1
5.4,175.245,-21.9201,-67.253,2024,1,0,0,1,1,0,1
5.4,14.8,54.0955,-159.699,2024,8,1,1,0,0,1,1
4.8,69.273,52.042,-174.531,2024,7,0,1,1,1,1,1
4.5,87.8,60.3148,-152.365,2024,7,1,0,0,0,1,1
4.4,10.0,50.622,-129.763,2024,7,1,0,0,0,1,1
6.0,40.972,52.1259,-170.932,2024,7,1,1,0,2,1,1
5.6,16.0,39.9972,35.9796,2024,4,0,0,0,0,0,1
5.8,26.873,37.3286,21.3156,2024,3,1,1,0,0,0,1
5.4,16.067,42.9936,18.6796,2024,3,0,0,0,0,0,1
6.4,9.471,-5.8668,112.362,2024,3,1,0,1,1,0,1
5.6,10.0,-5.8086,112.311,2024,3,1,0,1,1,0,1
4.8,2.624,40.6834,-74.7526,2024,4,0,0,0,0,1,1
5.06,3.0,35.5343,-96.7638,2024,2,0,0,0,0,0,1
5.1,6.0,35.5346,-96.7337,2024,2,0,0,0,0,0,1
7.4,127.291,-23.1243,-67.8715,2024,7,0,0,1,1,1,1
5.3,113.11,-22.1579,-68.682,2024,1,0,1,0,0,0,1
5.4,10.0,-30.2226,-72.2289,2024,1,1,1,1,1,0,1
5.2,10.0,-5.8146,102.185,2024,3,1,0,0,0,0,1
4.7,10.0,51.3957,-130.863,2024,9,1,1,1,0,1,1
6.5,10.0,51.6758,-130.632,2024,9,1,0,1,0,1,1
4.3,15.0,60.6032,-146.917,2024,9,1,0,0,0,1,1
4.6,48.2,59.6591,-151.499,2024,9,0,0,0,0,1,1
5.0,25.0,54.5449,-159.729,2024,8,1,1,0,0,1,1
5.5,47.174,-8.7179,110.181,2024,8,1,0,0,0,0,1
5.1,8.078,14.7827,108.243,2024,7,0,0,0,0,0,1
5.1,10.0,0.0963,96.4898,2024,7,1,0,0,0,0,1
5.4,9.0,-5.3869,101.059,2024,7,1,0,0,0,0,1
5.1,65.051,0.4081,98.5654,2024,6,1,0,0,0,0,1
5.7,21.0,2.8312,95.6044,2024,5,1,0,0,0,0,1
7.4,127.291,-23.1243,-67.8715,2024,7,0,0,1,1,1,1
6.2,10.0,37.1959,136.87,2024,1,0,0,0,2,0,1
7.5,10.0,37.4976,137.242,2024,1,0,0,0,2,1,1
5.8,10.0,37.5067,137.239,2024,1,0,0,0,2,0,1
5.3,113.11,-22.1579,-68.682,2024,1,0,1,0,0,0,1
5.4,10.0,-30.2226,-72.2289,2024,1,1,1,1,1,0,1
5.4,175.245,-21.9201,-67.253,2024,1,0,0,1,1,0,1
5.4,26.386,40.9054,143.213,2024,4,1,0,0,0,0,1
6.1,29.0,37.7196,141.924,2024,4,1,0,0,1,0,1
5.7,41.798,24.1954,121.932,2024,4,1,1,0,3,0,1
6.4,13.931,24.0651,121.673,2024,4,1,1,0,3,0,1
7.4,40.0,23.819,121.562,2024,4,0,1,0,3,1,1
5.9,73.0,40.1385,141.706,2024,4,0,0,0,0,0,1
5.6,20.0,28.4231,130.134,2024,3,1,1,0,0,0,1
5.6,44.0,37.1035,141.143,2024,3,1,0,0,1,0,1
5.4,45.09,29.1913,141.553,2024,1,1,0,1,2,0,1
5.9,10.0,37.8706,137.708,2024,1,1,0,0,2,0,1
5.8,11.296,24.191,121.899,2024,5,1,1,0,3,0,1
5.3,10.0,28.7699,142.53,2024,4,1,1,0,0,0,1
6.1,10.0,23.8672,121.538,2024,4,0,1,0,3,0,1
5.9,7.556,29.4708,131.736,2024,4,1,0,0,0,0,1
5.5,15.711,31.6412,131.796,2024,9,1,0,1,1,0,1
5.7,28.953,29.7999,130.855,2024,9,1,0,0,0,0,1
6.1,14.0,23.784,121.759,2024,8,1,1,0,4,0,1
5.4,11.732,24.3858,121.917,2024,8,1,1,0,4,0,1
6.5,402.166,47.1777,144.763,2024,8,1,1,1,0,1,1
5.3,18.196,31.8881,131.341,2024,8,0,0,1,1,0,1
7.1,24.0,31.7491,131.482,2024,8,0,0,1,1,0,1
5.4,34.723,33.4887,141.284,2024,6,1,1,0,0,0,1
5.7,9.0,37.4574,137.239,2024,6,0,0,0,1,0,1
5.5,392.698,32.2768,137.61,2024,5,1,0,0,0,0,1
5.7,222.966,-19.1251,-67.3038,2024,9,0,0,0,0,0,1
5.6,20.0,28.4231,130.134,2024,3,1,1,0,0,0,1
5.6,44.0,37.1035,141.143,2024,3,1,0,0,1,0,1
5.4,45.09,29.1913,141.553,2024,1,1,0,1,2,0,1
6.5,621.081,-8.2154,-71.3672,2024,1,0,0,1,1,0,1
5.3,113.11,-22.1579,-68.682,2024,1,0,1,0,0,0,1
6.6,607.0,-7.3193,-71.5055,2024,1,0,0,1,1,0,1
5.4,175.245,-21.9201,-67.253,2024,1,0,0,1,1,0,1
5.9,10.0,37.8706,137.708,2024,1,1,0,0,2,0,1
6.2,10.0,37.1959,136.87,2024,1,0,0,0,2,0,1
7.5,10.0,37.4976,137.242,2024,1,0,0,0,2,1,1
5.8,10.0,37.5067,137.239,2024,1,0,0,0,2,0,1
5.4,10.0,18.2141,-105.628,2024,4,1,0,0,0,0,1
5.6,10.0,26.2173,-110.508,2024,4,1,0,0,0,0,1
5.06,3.0,35.5343,-96.7638,2024,2,0,0,0,0,0,1
5.4,17.533,37.9845,-9.538,2024,8,1,1,0,0,0,1
5.4,16.067,42.9936,18.6796,2024,3,0,0,0,0,0,1
5.7,222.966,-19.1251,-67.3038,2024,9,0,0,0,0,0,1
7.4,127.291,-23.1243,-67.8715,2024,7,0,0,1,1,1,1
5.8,23.0,-15.5726,-74.7689,2024,7,0,1,0,3,0,1
6.1,18.0,-16.1219,-74.5791,2024,6,1,1,0,3,0,1
7.2,24.0,-15.8106,-74.4447,2024,6,1,1,0,3,1,1
5.5,106.228,-3.8887,-76.6968,2024,6,0,0,0,0,0,1
5.1,6.1279,32.414,-102.057,2024,9,0,0,0,0,0,1
5.9,7.556,29.4708,131.736,2024,4,1,0,0,0,0,1
5.4,26.386,40.9054,143.213,2024,4,1,0,0,0,0,1
6.1,29.0,37.7196,141.924,2024,4,1,0,0,1,0,1
5.7,41.798,24.1954,121.932,2024,4,1,1,0,3,0,1
6.4,13.931,24.0651,121.673,2024,4,1,1,0,3,0,1
7.4,40.0,23.819,121.562,2024,4,0,1,0,3,1,1
5.9,73.0,40.1385,141.706,2024,4,0,0,0,0,0,1
5.4,34.723,33.4887,141.284,2024,6,1,1,0,0,0,1
5.7,9.0,37.4574,137.239,2024,6,0,0,0,1,0,1
5.5,392.698,32.2768,137.61,2024,5,1,0,0,0,0,1
5.8,11.296,24.191,121.899,2024,5,1,1,0,3,0,1
5.3,10.0,28.7699,142.53,2024,4,1,1,0,0,0,1
6.1,10.0,23.8672,121.538,2024,4,0,1,0,3,0,1
5.9,73.0,40.1385,141.706,2024,4,0,0,0,0,0,1
5.6,20.0,28.4231,130.134,2024,3,1,1,0,0,0,1
5.6,44.0,37.1035,141.143,2024,3,1,0,0,1,0,1
5.4,45.09,29.1913,141.553,2024,1,1,0,1,2,0,1
5.9,10.0,37.8706,137.708,2024,1,1,0,0,2,0,1
6.2,10.0,37.1959,136.87,2024,1,0,0,0,2,0,1
7.5,10.0,37.4976,137.242,2024,1,0,0,0,2,1,1
5.8,10.0,37.5067,137.239,2024,1,0,0,0,2,0,1
5.5,15.711,31.6412,131.796,2024,9,1,0,1,1,0,1
5.7,28.953,29.7999,130.855,2024,9,1,0,0,0,0,1
6.1,14.0,23.784,121.759,2024,8,1,1,0,4,0,1
5.4,11.732,24.3858,121.917,2024,8,1,1,0,4,0,1
6.5,402.166,47.1777,144.763,2024,8,1,1,1,0,1,1
5.3,18.196,31.8881,131.341,2024,8,0,0,1,1,0,1
7.1,24.0,31.7491,131.482,2024,8,0,0,1,1,0,1
5.4,8.0,42.0113,82.6416,2024,4,0,0,0,0,0,1
5.4,11.732,24.3858,121.917,2024,8,1,1,0,4,0,1
6.5,402.166,47.1777,144.763,2024,8,1,1,1,0,1,1
5.3,18.196,31.8881,131.341,2024,8,0,0,1,1,0,1
7.1,24.0,31.7491,131.482,2024,8,0,0,1,1,0,1
5.4,34.723,33.4887,141.284,2024,6,1,1,0,0,0,1
5.7,9.0,37.4574,137.239,2024,6,0,0,0,1,0,1
5.5,392.698,32.2768,137.61,2024,5,1,0,0,0,0,1
5.8,11.296,24.191,121.899,2024,5,1,1,0,3,0,1
5.3,10.0,28.7699,142.53,2024,4,1,1,0,0,0,1
5.9,7.556,29.4708,131.736,2024,4,1,0,0,0,0,1
5.4,26.386,40.9054,143.213,2024,4,1,0,0,0,0,1
6.1,29.0,37.7196,141.924,2024,4,1,0,0,1,0,1
5.7,41.798,24.1954,121.932,2024,4,1,1,0,3,0,1
5.5,15.711,31.6412,131.796,2024,9,1,0,1,1,0,1
5.7,28.953,29.7999,130.855,2024,9,1,0,0,0,0,1
5.4,10.0,41.1648,78.4389,2024,2,0,0,1,0,0,1
5.4,10.0,41.3326,78.7686,2024,1,0,1,1,0,0,1
5.8,10.0,41.2946,78.6076,2024,1,0,0,1,0,0,1
7.0,13.0,41.2938,78.5937,2024,1,0,1,1,0,0,1
6.4,204.0,36.5061,70.5994,2024,1,0,1,0,3,0,1
