Year,Month,tsunami,mag,latitude,longitude
2001,1,1,7.7,13.049,-88.66
2001,6,1,8.4,-16.265,-73.641
2001,10,1,6.1,52.63,-132.2
2001,12,1,6.8,23.954,122.734
2002,1,1,7.2,-17.6,167.856
2002,3,1,7.5,6.033,124.249
2002,3,1,6.4,23.346,124.09
2002,3,1,7.1,24.279,122.179
2002,4,1,6.7,16.985,-100.865
2002,9,1,7.6,-3.26,142.94
2002,9,1,6.5,13.036,93.068
2003,1,1,7.3,-10.491,160.77
2003,1,1,7.5,18.77,-104.104
2003,5,1,6.8,36.964,3.634
2003,5,1,5.7,36.939,3.578
2003,8,1,7.6,-60.532,-43.411
2003,8,1,6.3,39.16,20.605
2003,9,1,8.3,41.815,143.91
2003,10,1,7.0,37.812,142.619
2003,11,1,7.8,51.146,178.65
2003,12,1,7.3,-22.015,169.766
2004,1,1,7.1,-22.253,169.683
2004,1,1,6.7,-3.12,127.4
2004,2,1,5.3,31.675,35.551
2004,9,1,7.2,33.07,136.618
2004,9,1,7.4,33.184,137.071
2004,11,1,6.6,49.277,-128.772
2004,11,1,7.5,-8.152,124.868
2004,11,1,6.3,15.679,-61.706
2004,11,1,7.1,-46.676,164.721
2004,11,1,7.0,43.006,145.119
2004,12,1,8.1,-49.312,161.345
2004,12,1,9.1,3.295,95.982
2005,1,1,6.6,34.064,141.491
2005,2,1,5.8,15.775,-61.744
2005,3,1,8.6,2.085,97.108
2005,4,1,6.7,-1.644,99.607
2005,6,1,7.2,41.301,-125.97
2005,8,1,7.2,38.276,142.039
2005,11,1,7.0,38.107,144.896
2006,1,1,5.6,31.394,140.131
2006,3,1,6.7,-3.595,127.214
2006,5,1,8.0,-20.187,-174.123
2006,7,1,7.7,-9.284,107.419
2006,9,1,6.9,-16.592,-172.033
2006,10,1,6.7,19.878,-155.935
2006,10,1,6.4,29.351,140.27
2006,11,1,5.2,20.656,119.997
2006,11,1,8.3,46.592,153.266
2006,12,1,7.0,21.799,120.547
2007,1,1,8.1,46.243,154.524
2007,3,1,7.1,-20.617,169.357
2007,3,1,6.7,37.336,136.588
2007,4,1,8.1,-8.46,157.044
2007,7,1,6.6,37.57,138.478
2007,8,1,6.2,47.116,141.798
2007,8,1,6.7,51.307,-179.971
2007,8,1,8.0,-13.386,-76.603
2007,9,1,7.2,-11.61,165.762
2007,9,1,8.4,-4.438,101.367
2007,9,1,7.4,-49.418,163.954
2007,11,1,7.7,-22.247,-69.89
2007,12,1,7.8,-25.996,-177.514
2008,2,1,6.5,-2.486,99.972
2008,4,1,7.3,-20.071,168.892
2008,7,1,6.9,37.552,142.214
2008,9,1,6.8,41.892,143.754
2008,11,1,7.3,1.271,122.091
2009,1,1,7.6,-0.414,132.885
2009,1,1,7.3,-0.691,133.305
2009,1,1,7.4,46.857,155.154
2009,2,1,7.2,3.884,126.397
2009,3,1,7.6,-23.046,-174.659
2009,5,1,7.3,16.72,-86.236
2009,6,1,6.7,-5.157,153.782
2009,7,1,6.4,34.164,25.471
2009,7,1,7.8,-45.762,166.562
2009,8,1,7.5,14.099,92.888
2009,8,1,6.4,34.743,138.264
2009,8,1,6.7,-1.479,99.49
2009,9,1,7.0,-7.782,107.297
2009,9,1,8.1,-15.489,-172.095
2009,9,1,7.5,-0.72,99.867
2009,10,1,7.6,-13.006,166.51
2010,1,1,6.6,-8.743,157.477
2010,1,1,7.1,-8.799,157.346
2010,1,1,6.8,-9.019,157.551
2010,2,1,7.0,25.93,128.425
2010,2,1,8.8,-36.122,-72.898
2010,3,1,6.9,-34.29,-71.891
2010,4,1,7.8,2.383,97.048
2010,5,1,7.2,-13.698,166.643
2010,6,1,7.5,7.881,91.936
2010,7,1,7.3,-5.931,150.59
2010,8,1,7.2,-17.541,168.069
2010,8,1,6.9,12.484,141.476
2010,10,1,7.8,-3.487,100.082
2010,12,1,7.4,26.901,143.698
2010,12,1,7.3,-19.702,167.947
2011,1,1,6.5,-19.157,168.311
2011,1,1,7.0,-20.628,168.471
2011,2,1,6.8,-36.474,-73.125
2011,3,1,7.3,38.435,142.842
2011,3,1,6.3,38.296,142.808
2011,3,1,9.1,38.297,142.373
2011,4,1,7.1,38.276,141.588
2011,5,1,6.8,-20.244,168.226
2011,6,1,7.3,52.05,-171.836
2011,7,1,7.6,-29.539,-176.34
2011,7,1,7.0,38.034,143.264
2011,8,1,7.1,-18.365,168.143
2011,8,1,7.0,-18.311,168.218
2011,9,1,6.8,52.171,-171.708
2011,10,1,7.4,-28.993,-176.238
2012,1,1,6.4,-10.617,165.16
2012,2,1,7.0,-17.827,167.133
2012,2,1,6.7,9.999,123.206
2012,3,1,6.6,-22.141,170.34
2012,3,1,6.7,-19.125,169.613
2012,3,1,6.9,40.887,144.944
2012,3,1,7.4,16.493,-98.231
2012,4,1,8.6,2.327,93.063
2012,4,1,8.2,0.802,92.463
2012,4,1,6.3,-18.972,168.741
2012,8,1,7.3,12.139,-88.59
2012,8,1,7.6,10.811,126.638
2012,9,1,7.6,10.085,-85.315
2012,10,1,7.7,52.788,-132.101
2012,11,1,7.3,13.988,-91.895
2012,12,1,7.2,37.89,143.949
