Search Parameters,Year,Mo,Dy,Hr,Mn,Sec,Tsunami Event Validity,tsunami,mag,Vol,More Info,Deposits,Country,Location Name,latitude,longitude,Maximum Water Height (m),Number of Runups,Tsunami Magnitude (Abe),Tsunami Magnitude (Iida),Tsunami Intensity,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description
,2001,1,13,17,33,32.3,3,1,7.7,,,0,EL SALVADOR,EL SALVADOR,13.049,-88.66,0.25,1,,,,,,,,,,,,,,,,844.0,3.0,,,4723.0,4.0,753.0,4.0,108226.0,4.0,169632.0,4.0
,2001,6,23,20,33,14.1,4,1,8.4,,,4,PERU,S. PERU,-16.265,-73.641,8.8,152,,,,26.0,1.0,70.0,2.0,,,,4.0,2000.0,4.0,,,103.0,3.0,138.0,3.0,2713.0,4.0,200.0,4.0,25399.0,4.0,,
,2001,10,12,5,2,34.0,4,1,6.1,,,0,CANADA,QUEEN CHARLOTTE ISLANDS,52.63,-132.2,0.11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2001,12,18,4,2,58.2,4,1,6.8,,,0,TAIWAN,TAIWAN,23.954,122.734,0.16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002,1,2,17,22,48.7,4,1,7.2,,,0,VANUATU,VANUATU ISLANDS,-17.6,167.856,3.0,2,,-4.64,-4.14,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,2.0
,2002,3,5,21,16,9.1,4,1,7.5,,,0,PHILIPPINES,"MINDANAO ISLAND, PHILIPPINES",6.033,124.249,3.0,3,,,,,,,,,,,1.0,,,,,15.0,1.0,,,100.0,2.0,1.714,2.0,,,800.0,3.0
,2002,3,26,3,45,48.7,3,1,6.4,,,0,JAPAN,JAPAN,23.346,124.09,0.05,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002,3,31,6,52,50.4,4,1,7.1,,,0,TAIWAN,TAIWAN,24.279,122.179,0.2,11,,,,,,,,,,,,,,,,5.0,1.0,,,200.0,3.0,,2.0,100.0,2.0,,
,2002,4,18,5,2,46.1,4,1,6.7,,,0,MEXICO,S. MEXICO,16.985,-100.865,,2,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
,2002,9,8,18,44,25.5,4,1,7.6,,,0,PAPUA NEW GUINEA,BISMARCK SEA,-3.26,142.94,5.5,88,,0.58,1.08,,,,,,,,1.0,,1.0,,,4.0,1.0,,,70.0,2.0,,3.0,,1.0,873.0,3.0
,2002,9,13,22,28,29.4,4,1,6.5,,,0,INDIA,"ANDAMAN ISLANDS, INDIA",13.036,93.068,,4,,,,,,,,,,,1.0,,,,1.0,2.0,1.0,,,,,,2.0,40.0,1.0,,1.0
,2002,10,10,10,50,20.5,1,1,7.6,,,0,INDONESIA,IRIAN JAYA,-1.757,134.297,5.0,3,,2.32,2.82,,,,,,,,,,,,,8.0,1.0,,,632.0,3.0,,3.0,1000.0,3.0,900.0,3.0
,2003,1,20,8,43,6.0,4,1,7.3,,,0,SOLOMON ISLANDS,SOLOMON ISLANDS,-10.491,160.77,2.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003,1,22,2,6,34.6,4,1,7.5,,,1,MEXICO,S. MEXICO,18.77,-104.104,0.61,6,,,0.5,,,,,,,,,,,,,29.0,1.0,,,1073.0,4.0,116.3,4.0,2005.0,4.0,6615.0,4.0
,2003,5,21,18,44,20.1,4,1,6.8,,,1,ALGERIA,N. ALGERIA,36.964,3.634,3.0,44,,1.0,1.5,,,,,,,,2.0,,3.0,,,2287.0,4.0,800.0,3.0,11000.0,4.0,5000.0,4.0,19000.0,4.0,163000.0,4.0
,2003,5,27,17,11,28.8,4,1,5.7,,,0,ALGERIA,ALGIERS,36.939,3.578,0.08,2,,,,,,,,,,,,,,,,9.0,1.0,,,200.0,3.0,,2.0,,3.0,,
,2003,8,4,4,37,20.1,4,1,7.6,,,0,ANTARCTICA,SCOTIA SEA,-60.532,-43.411,,1,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
,2003,8,14,5,14,54.7,3,1,6.3,,,0,GREECE,IONIAN SEA,39.16,20.605,0.5,1,,,,,,,,,,,1.0,,,,,,,,,50.0,1.0,,2.0,,,,2.0
,2003,9,25,19,50,6.3,4,1,8.3,,,1,JAPAN,HOKKAIDO ISLAND,41.815,143.91,4.4,268,,,,2.0,1.0,,,,,,1.0,,,,,2.0,1.0,,,849.0,3.0,90.0,4.0,,,,
