magnitude,depth,latitude,longitude,Year,Month,is_ocean,is_steep_slope,horizontal_count_1y_full,vertical_count_1y_full,tsunami
5.1,7.148,41.2186,78.724,2024,1,0,0,1,0,0
5.5,10.0,41.1979,78.6168,2024,1,0,0,1,0,0
5.4,10.0,41.3326,78.7686,2024,1,0,1,1,0,0
5.1,6.1279,32.414,-102.057,2024,9,0,0,0,0,0
6.1,33.882,12.998,-89.5623,2024,8,1,1,1,2,0
5.4,140.0,16.9087,-93.8167,2024,8,0,0,0,0,0
5.1,3.2959,32.746,-100.692,2024,7,0,0,0,0,0
6.2,262.297,14.5566,-89.9665,2024,7,0,0,1,1,0
6.4,61.91,14.4518,-92.363,2024,5,1,0,3,1,0
5.4,10.0,18.2141,-105.628,2024,4,1,0,0,0,0
5.6,10.0,26.2173,-110.508,2024,4,1,0,0,0,0
5.5,154.0,11.1362,-85.3425,2024,4,0,0,0,0,0
5.6,48.0,12.3515,-87.6834,2024,3,1,0,1,0,0
5.6,9.0,9.7781,-86.3237,2024,3,1,1,0,0,0
5.1,53.382,-34.3923,179.972,2024,8,1,0,0,1,0
5.1,28.58,54.5455,-159.689,2024,8,1,1,0,0,1
5.0,12.0,54.514,-159.567,2024,8,1,1,0,0,1
5.6,34.21,54.1094,-159.702,2024,8,1,1,0,0,1
5.6,16.0,39.9972,35.9796,2024,4,0,0,0,0,0
5.8,26.873,37.3286,21.3156,2024,3,1,1,0,0,0
5.4,16.067,42.9936,18.6796,2024,3,0,0,0,0,0
5.4,17.533,37.9845,-9.538,2024,8,1,1,0,0,0
5.8,26.873,37.3286,21.3156,2024,3,1,1,0,0,0
5.4,16.067,42.9936,18.6796,2024,3,0,0,0,0,0
5.4,10.0,11.7428,43.3665,2024,1,1,0,0,0,0
5.4,175.245,-21.9201,-67.253,2024,1,0,0,1,1,0
5.5,117.0,-28.4553,-68.9432,2024,1,0,1,0,0,0
5.4,14.8,54.0955,-159.699,2024,8,1,1,0,0,1
5.4,87.0,54.038,-159.522,2024,8,1,1,0,0,1
4.6,8.3,59.1053,-139.141,2024,7,1,0,0,0,1
5.1,44.0,52.306,-174.645,2024,7,1,1,1,1,1
4.8,69.273,52.042,-174.531,2024,7,0,1,1,1,1
5.2,52.8,51.8371,-174.491,2024,7,1,1,1,1,1
4.5,87.8,60.3148,-152.365,2024,7,1,0,0,0,1
4.4,10.0,50.622,-129.763,2024,7,1,0,0,0,1
6.0,40.972,52.1259,-170.932,2024,7,1,1,0,2,1
5.9,39.0,51.777,-170.741,2024,7,1,1,0,2,1
5.6,16.0,39.9972,35.9796,2024,4,0,0,0,0,0
5.8,26.873,37.3286,21.3156,2024,3,1,1,0,0,0
5.4,16.067,42.9936,18.6796,2024,3,0,0,0,0,0
6.1,59.701,-8.1104,107.272,2024,4,1,1,0,1,0
6.4,9.471,-5.8668,112.362,2024,3,1,0,1,1,0
5.6,10.0,-5.8086,112.311,2024,3,1,0,1,1,0
4.8,2.624,40.6834,-74.7526,2024,4,0,0,0,0,1
5.06,3.0,35.5343,-96.7638,2024,2,0,0,0,0,0
5.1,6.0,35.5346,-96.7337,2024,2,0,0,0,0,0
5.7,123.0,-28.6825,-69.3728,2024,9,0,0,0,0,0
5.5,267.235,-22.2935,-65.9607,2024,8,0,0,1,0,0
7.4,127.291,-23.1243,-67.8715,2024,7,0,0,1,1,1
5.8,28.0,-28.9162,-71.5264,2024,2,1,1,1,1,0
5.4,33.936,-28.229,-71.3898,2024,2,1,1,1,0,0
5.3,113.11,-22.1579,-68.682,2024,1,0,1,0,0,0
5.4,10.0,-30.2226,-72.2289,2024,1,1,1,1,1,0
5.3,202.477,-23.3523,-66.6742,2024,1,0,0,1,1,0
5.2,10.0,-5.8146,102.185,2024,3,1,0,0,0,0
5.6,34.0,-7.362,105.925,2024,2,1,1,0,0,0
4.7,10.0,51.3957,-130.863,2024,9,1,1,1,0,1
6.5,10.0,51.6758,-130.632,2024,9,1,0,1,0,1
4.3,15.0,60.6032,-146.917,2024,9,1,0,0,0,1
3.9,126.3,59.8159,-153.249,2024,9,0,0,0,0,1
4.6,48.2,59.6591,-151.499,2024,9,0,0,0,0,1
5.0,25.0,54.5449,-159.729,2024,8,1,1,0,0,1
5.5,47.174,-8.7179,110.181,2024,8,1,0,0,0,0
5.1,8.078,14.7827,108.243,2024,7,0,0,0,0,0
5.1,10.0,0.0963,96.4898,2024,7,1,0,0,0,0
5.4,9.0,-5.3869,101.059,2024,7,1,0,0,0,0
5.1,65.051,0.4081,98.5654,2024,6,1,0,0,0,0
5.5,19.0,-3.6267,100.699,2024,6,1,1,0,0,0
5.7,21.0,2.8312,95.6044,2024,5,1,0,0,0,0
7.4,127.291,-23.1243,-67.8715,2024,7,0,0,1,1,1
5.8,28.0,-28.9162,-71.5264,2024,2,1,1,1,1,0
5.4,33.936,-28.229,-71.3898,2024,2,1,1,1,0,0
5.4,6.0,37.2326,136.788,2024,1,0,0,0,2,0
5.6,10.0,37.5249,137.408,2024,1,1,0,0,2,0
5.5,10.0,37.5575,137.384,2024,1,1,0,0,2,0
5.6,10.0,37.2969,136.946,2024,1,0,0,0,2,0
6.2,10.0,37.1959,136.87,2024,1,0,0,0,2,0
7.5,10.0,37.4976,137.242,2024,1,0,0,0,2,1
5.8,10.0,37.5067,137.239,2024,1,0,0,0,2,0
5.3,113.11,-22.1579,-68.682,2024,1,0,1,0,0,0
5.4,10.0,-30.2226,-72.2289,2024,1,1,1,1,1,0
5.3,202.477,-23.3523,-66.6742,2024,1,0,0,1,1,0
5.4,175.245,-21.9201,-67.253,2024,1,0,0,1,1,0
5.5,117.0,-28.4553,-68.9432,2024,1,0,1,0,0,0
5.4,26.386,40.9054,143.213,2024,4,1,0,0,0,0
6.1,29.0,37.7196,141.924,2024,4,1,0,0,1,0
5.7,41.798,24.1954,121.932,2024,4,1,1,0,3,0
5.7,26.363,23.7873,121.784,2024,4,1,1,0,3,0
5.3,16.869,23.8555,121.803,2024,4,1,1,0,3,0
5.6,14.297,24.1465,121.743,2024,4,1,1,0,3,0
5.3,10.789,23.9598,121.595,2024,4,0,1,0,3,0
5.6,15.864,24.1609,121.71,2024,4,1,1,0,3,0
6.4,13.931,24.0651,121.673,2024,4,1,1,0,3,0
7.4,40.0,23.819,121.562,2024,4,0,1,0,3,1
5.9,73.0,40.1385,141.706,2024,4,0,0,0,0,0
5.3,35.0,24.3178,142.875,2024,3,1,1,0,0,0
5.6,20.0,28.4231,130.134,2024,3,1,1,0,0,0
5.6,44.0,37.1035,141.143,2024,3,1,0,0,1,0
5.4,45.09,29.1913,141.553,2024,1,1,0,1,2,0
5.9,10.0,37.8706,137.708,2024,1,1,0,0,2,0
5.8,11.296,24.191,121.899,2024,5,1,1,0,3,0
5.2,28.949,23.7143,121.588,2024,5,1,1,0,3,0
5.6,23.605,23.7257,121.581,2024,5,1,1,0,3,0
5.2,40.475,24.2257,121.706,2024,4,0,1,0,3,0
5.7,37.767,24.1449,121.674,2024,4,1,1,0,3,0
5.3,10.0,28.7699,142.53,2024,4,1,1,0,0,0
5.8,12.0,23.8026,121.676,2024,4,1,1,0,3,0
5.4,8.991,23.808,121.634,2024,4,1,0,0,3,0
5.4,5.83,23.698,121.574,2024,4,1,1,0,3,0
5.5,17.0,23.6512,121.606,2024,4,1,1,0,3,0
6.1,10.0,23.8672,121.538,2024,4,0,1,0,3,0
6.1,9.0,23.7241,121.641,2024,4,1,1,0,3,1
5.8,8.0,23.7288,121.562,2024,4,0,1,0,3,0
5.6,10.0,23.7158,121.63,2024,4,1,1,0,3,0
6.3,32.0,33.1621,132.387,2024,4,0,0,1,0,0
5.9,7.556,29.4708,131.736,2024,4,1,0,0,0,0
5.5,15.711,31.6412,131.796,2024,9,1,0,1,1,0
5.7,28.953,29.7999,130.855,2024,9,1,0,0,0,0
6.1,14.0,23.784,121.759,2024,8,1,1,0,4,0
5.4,11.732,24.3858,121.917,2024,8,1,1,0,4,0
6.5,402.166,47.1777,144.763,2024,8,1,1,1,0,1
5.3,18.196,31.8881,131.341,2024,8,0,0,1,1,0
7.1,24.0,31.7491,131.482,2024,8,0,0,1,1,0
5.6,91.0,33.536,140.175,2024,7,1,0,0,0,0
5.4,34.723,33.4887,141.284,2024,6,1,1,0,0,0
5.7,9.0,37.4574,137.239,2024,6,0,0,0,1,0
5.5,392.698,32.2768,137.61,2024,5,1,0,0,0,0
5.4,59.788,26.1835,141.391,2024,5,1,0,0,0,0
5.7,123.0,-28.6825,-69.3728,2024,9,0,0,0,0,0
5.7,222.966,-19.1251,-67.3038,2024,9,0,0,0,0,0
5.5,267.235,-22.2935,-65.9607,2024,8,0,0,1,0,0
5.6,20.0,28.4231,130.134,2024,3,1,1,0,0,0
5.6,44.0,37.1035,141.143,2024,3,1,0,0,1,0
5.4,45.09,29.1913,141.553,2024,1,1,0,1,2,0
6.0,27.0,-15.9192,-74.5392,2024,6,1,1,0,3,0
6.5,621.081,-8.2154,-71.3672,2024,1,0,0,1,1,0
5.3,113.11,-22.1579,-68.682,2024,1,0,1,0,0,0
5.3,202.477,-23.3523,-66.6742,2024,1,0,0,1,1,0
6.6,607.0,-7.3193,-71.5055,2024,1,0,0,1,1,0
5.4,175.245,-21.9201,-67.253,2024,1,0,0,1,1,0
5.9,10.0,37.8706,137.708,2024,1,1,0,0,2,0
5.4,6.0,37.2326,136.788,2024,1,0,0,0,2,0
5.6,10.0,37.5249,137.408,2024,1,1,0,0,2,0
5.5,10.0,37.5575,137.384,2024,1,1,0,0,2,0
5.6,10.0,37.2969,136.946,2024,1,0,0,0,2,0
6.2,10.0,37.1959,136.87,2024,1,0,0,0,2,0
7.5,10.0,37.4976,137.242,2024,1,0,0,0,2,1
5.8,10.0,37.5067,137.239,2024,1,0,0,0,2,0
5.8,8.0,23.7288,121.562,2024,4,0,1,0,3,0
5.6,10.0,23.7158,121.63,2024,4,1,1,0,3,0
6.3,32.0,33.1621,132.387,2024,4,0,0,1,0,0
5.1,3.2959,32.746,-100.692,2024,7,0,0,0,0,0
5.4,10.0,18.2141,-105.628,2024,4,1,0,0,0,0
5.6,10.0,26.2173,-110.508,2024,4,1,0,0,0,0
5.06,3.0,35.5343,-96.7638,2024,2,0,0,0,0,0
5.4,17.533,37.9845,-9.538,2024,8,1,1,0,0,0
5.4,16.067,42.9936,18.6796,2024,3,0,0,0,0,0
5.7,222.966,-19.1251,-67.3038,2024,9,0,0,0,0,0
5.5,267.235,-22.2935,-65.9607,2024,8,0,0,1,0,0
7.4,127.291,-23.1243,-67.8715,2024,7,0,0,1,1,1
5.6,176.0,-17.4037,-69.4991,2024,7,0,0,0,0,0
5.8,23.0,-15.5726,-74.7689,2024,7,0,1,0,3,0
5.4,13.49,-15.9895,-74.7421,2024,7,1,1,0,3,0
5.4,21.807,-16.1686,-74.3463,2024,6,1,1,1,3,0
6.1,18.0,-16.1219,-74.5791,2024,6,1,1,0,3,0
7.2,24.0,-15.8106,-74.4447,2024,6,1,1,0,3,1
5.5,106.228,-3.8887,-76.6968,2024,6,0,0,0,0,0
5.1,6.1279,32.414,-102.057,2024,9,0,0,0,0,0
5.4,140.0,16.9087,-93.8167,2024,8,0,0,0,0,0
5.9,7.556,29.4708,131.736,2024,4,1,0,0,0,0
5.4,26.386,40.9054,143.213,2024,4,1,0,0,0,0
6.1,29.0,37.7196,141.924,2024,4,1,0,0,1,0
5.7,41.798,24.1954,121.932,2024,4,1,1,0,3,0
5.7,26.363,23.7873,121.784,2024,4,1,1,0,3,0
5.3,16.869,23.8555,121.803,2024,4,1,1,0,3,0
5.6,14.297,24.1465,121.743,2024,4,1,1,0,3,0
5.3,10.789,23.9598,121.595,2024,4,0,1,0,3,0
5.6,15.864,24.1609,121.71,2024,4,1,1,0,3,0
6.4,13.931,24.0651,121.673,2024,4,1,1,0,3,0
7.4,40.0,23.819,121.562,2024,4,0,1,0,3,1
5.9,73.0,40.1385,141.706,2024,4,0,0,0,0,0
5.3,35.0,24.3178,142.875,2024,3,1,1,0,0,0
5.4,34.723,33.4887,141.284,2024,6,1,1,0,0,0
5.7,9.0,37.4574,137.239,2024,6,0,0,0,1,0
5.5,392.698,32.2768,137.61,2024,5,1,0,0,0,0
5.4,59.788,26.1835,141.391,2024,5,1,0,0,0,0
5.8,11.296,24.191,121.899,2024,5,1,1,0,3,0
5.2,28.949,23.7143,121.588,2024,5,1,1,0,3,0
5.6,23.605,23.7257,121.581,2024,5,1,1,0,3,0
5.2,40.475,24.2257,121.706,2024,4,0,1,0,3,0
