magnitude,depth,latitude,longitude,Year,Month,is_ocean,is_steep_slope,horizontal_count_1y_full,vertical_count_1y_full,tsunami
7.6,35.0,10.085,-85.315,2012,9,0,0,0,1,1
7.6,28.0,10.811,126.638,2012,8,1,1,0,0,1
7.3,28.0,12.139,-88.59,2012,8,1,1,0,0,1
8.2,25.1,0.802,92.463,2012,4,1,0,1,0,1
8.6,20.0,2.327,93.063,2012,4,1,0,1,0,1
7.4,20.0,16.493,-98.231,2012,3,0,0,0,0,1
6.9,12.0,40.887,144.944,2012,3,1,0,0,4,1
6.7,16.0,-19.125,169.613,2012,3,1,0,2,4,1
6.6,14.0,-22.141,170.34,2012,3,1,1,1,0,1
6.7,11.0,9.999,123.206,2012,2,0,0,0,1,1
6.4,28.0,-10.617,165.16,2012,1,1,1,0,2,1
7.4,33.0,-28.993,-176.238,2011,10,1,1,0,3,1
7.0,23.0,38.034,143.264,2011,7,1,1,3,20,1
7.6,17.0,-29.539,-176.34,2011,7,1,1,0,0,1
7.3,52.0,52.05,-171.836,2011,6,1,1,1,1,1
6.8,11.0,-20.244,168.226,2011,5,1,0,2,5,1
7.1,42.0,38.276,141.588,2011,4,0,0,3,15,1
9.1,29.0,38.297,142.373,2011,3,1,0,0,2,1
7.3,32.0,38.435,142.842,2011,3,1,0,0,2,1
7.0,9.0,-20.628,168.471,2011,1,1,1,2,2,1
7.3,16.0,-19.702,167.947,2010,12,1,0,0,0,1
7.4,14.0,26.901,143.698,2010,12,1,1,0,0,1
7.8,20.1,-3.487,100.082,2010,10,1,1,1,2,1
7.3,35.0,-5.931,150.59,2010,7,0,1,0,1,1
7.5,35.0,7.881,91.936,2010,6,1,1,1,0,1
7.2,31.0,-13.698,166.643,2010,5,1,1,0,9,1
7.8,31.0,2.383,97.048,2010,4,1,0,0,1,1
6.9,11.0,-34.29,-71.891,2010,3,0,0,0,2,1
8.8,22.9,-36.122,-72.898,2010,2,1,0,0,0,1
7.0,25.0,25.93,128.425,2010,2,1,1,0,0,1
6.8,15.4,-9.019,157.551,2010,1,1,1,0,0,1
8.1,18.0,-15.489,-172.095,2009,9,1,1,0,1,1
7.0,46.0,-7.782,107.297,2009,9,1,1,0,0,1
6.7,20.0,-1.479,99.49,2009,8,1,0,0,0,1
7.8,12.0,-45.762,166.562,2009,7,0,1,0,0,1
6.4,19.0,34.164,25.471,2009,7,1,1,0,0,1
6.7,64.0,-5.157,153.782,2009,6,1,0,0,0,1
