magnitude,depth,is_ocean,is_steep_slope,horizontal_count_1y_full,vertical_count_1y_full,tsunami
7.0,14.0,1,1,1,1,1
6.9,25.0,1,1,0,1,0
7.0,579.0,1,1,1,1,1
7.3,37.0,1,1,0,1,1
6.6,624.464,1,0,3,2,1
7.0,660.0,1,0,3,2,1
6.8,630.379,1,0,3,2,1
6.7,20.0,1,1,0,1,1
6.8,20.0,0,1,0,2,1
7.6,26.943,0,1,0,2,1
6.9,10.0,0,1,5,1,1
6.5,10.0,1,1,5,1,1
7.0,137.0,1,0,2,3,1
7.6,116.0,0,1,1,0,1
6.6,12.0,0,1,1,0,0
6.6,30.0,1,1,1,1,1
7.0,33.729,0,0,1,1,1
6.5,622.73,0,0,0,1,0
7.2,236.0,0,0,1,0,1
6.9,10.0,1,1,1,0,1
6.8,220.0,0,0,2,1,1
6.6,27.0,1,0,0,4,1
7.0,10.0,1,0,0,1,1
6.9,10.0,1,1,0,1,1
6.7,24.0,1,1,2,1,1
7.3,41.0,1,0,0,5,1
6.7,28.0,1,0,1,1,0
6.6,24.0,1,1,0,19,1
6.8,535.0,1,0,2,0,1
6.5,110.0,0,0,0,2,0
6.5,8.0,1,1,0,19,1
6.6,33.0,1,0,0,1,0
6.5,37.0,1,1,0,3,1
6.6,19.0,1,1,0,3,1
6.7,33.0,1,1,0,3,1
6.8,20.0,1,1,0,3,1
6.6,21.0,1,1,0,1,0
6.6,13.0,0,0,1,0,0
7.3,165.49,1,1,0,1,0
7.3,14.27,1,0,1,0,1
7.5,126.0,0,0,0,1,1
6.6,12.0,1,1,0,1,1
6.9,51.6,1,0,1,2,1
6.9,535.0,1,0,2,0,1
7.3,527.0,1,0,2,0,1
6.5,21.0,1,1,0,1,1
7.0,20.0,0,1,0,1,1
7.1,6.0,1,0,1,3,1
6.6,7.0,1,1,1,4,1
6.9,93.0,1,1,2,2,1
6.9,16.7,1,0,0,4,1
7.2,10.0,0,1,1,0,1
6.9,33.3,1,0,1,2,1
6.9,20.74,1,0,1,2,1
8.1,22.79,1,1,0,5,0
7.5,47.23,1,1,0,4,1
7.1,55.14,1,1,1,3,1
8.2,46.66,1,0,1,2,1
8.2,35.0,1,0,1,2,1
6.7,110.0,1,0,0,2,1
6.7,10.0,1,1,3,0,1
6.5,25.0,1,1,0,12,1
6.5,10.0,1,0,2,0,1
7.3,10.0,0,0,1,0,0
6.7,11.0,1,0,0,2,0
6.7,10.0,1,0,1,0,0
6.9,43.0,1,0,1,4,1
6.5,246.0,1,0,2,0,0
6.5,301.0,1,0,2,0,0
7.0,43.0,1,0,1,3,1
6.6,13.23,1,1,1,0,1
6.5,24.0,1,1,0,12,0
8.1,28.93,1,1,1,12,1
7.4,43.0,1,0,1,12,1
7.3,10.0,1,1,1,1,1
7.1,43.98,1,0,1,2,1
7.7,10.0,1,0,1,7,1
6.9,15.0,1,0,0,1,1
7.0,80.0,1,1,0,2,1
6.7,10.0,0,0,0,1,0
6.7,10.0,1,1,0,1,1
7.0,21.0,1,0,0,1,0
7.6,28.37,1,1,1,2,1
6.9,10.0,1,0,1,0,1
6.5,16.0,1,1,0,3,0
6.8,21.0,1,1,0,3,1
6.5,10.0,1,0,1,0,0
6.9,624.0,1,0,0,1,0
6.9,26.0,1,1,0,2,0
6.8,22.0,1,1,0,2,0
6.6,10.0,1,0,1,0,1
7.8,28.0,1,0,0,2,1
7.0,73.0,1,1,1,0,1
6.6,533.76,1,0,0,2,0
7.4,20.0,0,1,0,1,1
7.4,10.0,1,1,1,0,1
6.6,165.0,1,0,1,1,1
6.8,112.0,0,0,0,1,1
6.5,2.7,0,0,1,0,0
6.6,107.0,1,1,0,3,1
6.8,96.0,1,0,2,1,0
6.5,10.0,1,1,0,1,0
6.5,12.06,0,0,0,0,0
7.5,57.8,1,1,0,1,1
7.0,143.0,1,0,0,1,1
7.7,14.86,1,1,1,0,1
6.7,10.0,0,0,1,0,0
6.8,18.0,0,0,5,1,1
7.1,33.0,1,0,1,4,1
6.5,577.0,1,0,1,1,0
6.6,10.0,1,0,3,0,1
6.5,10.0,0,0,2,2,1
6.6,15.0,0,0,2,2,1
6.7,11.0,1,1,0,2,1
6.5,12.26,1,1,1,0,1
6.6,591.0,1,0,0,2,1
6.6,16.0,1,0,2,1,1
6.9,49.0,1,0,0,1,0
6.8,25.0,1,1,0,1,1
6.6,181.0,0,1,1,2,1
7.2,18.98,0,0,1,0,1
6.6,10.0,1,0,1,0,0
6.9,35.0,1,0,1,1,0
7.1,8.0,0,0,0,0,0
7.3,212.0,1,1,1,1,1
7.3,46.0,1,0,2,7,1
6.6,57.92,1,0,1,1,1
8.0,122.57,0,0,0,1,1
7.6,10.0,1,1,1,2,1
7.1,146.0,0,0,0,1,1
6.8,15.46,1,0,1,0,1
6.5,38.0,1,1,1,2,1
7.0,267.0,0,0,0,1,1
7.5,145.0,0,0,0,2,1
6.7,66.0,1,0,1,0,1
6.7,13.0,1,0,0,2,0
6.7,63.0,0,1,0,2,1
6.6,35.0,1,1,0,3,1
6.6,43.21,1,0,1,1,1
6.8,570.41,0,0,0,1,0
7.0,60.21,1,1,1,2,1
7.3,16.56,1,1,3,1,1
7.1,133.0,1,1,1,1,1
6.6,10.0,1,1,1,5,1
7.5,10.0,1,1,1,5,1
7.1,46.7,0,0,0,0,1
6.8,540.0,1,0,4,1,1
6.7,10.0,1,0,1,0,1
6.8,14.0,1,1,1,0,0
6.5,10.0,1,0,3,0,0
6.8,10.0,1,0,3,0,1
6.5,10.0,1,0,3,0,1
6.5,17.0,1,1,1,10,1
6.7,461.0,1,0,1,0,1
6.5,20.0,1,1,0,3,1
7.0,39.0,0,1,0,6,1
6.7,550.0,1,0,1,1,1
7.5,20.0,0,0,2,0,0
6.5,576.0,1,0,1,0,0
6.9,115.0,1,0,1,1,0
6.5,68.0,1,0,1,0,1
7.9,670.81,1,1,1,0,1
6.6,35.0,0,0,0,2,1
7.1,21.43,1,1,0,8,1
7.1,630.0,0,0,0,1,0
6.5,9.0,1,0,1,1,1
7.3,146.82,1,0,0,1,1
6.9,21.0,0,0,0,4,0
8.2,600.0,1,0,3,1,1
6.5,529.0,1,1,0,1,0
6.5,33.93,1,1,0,2,1
6.9,34.0,0,0,0,4,0
6.9,5.81,1,1,0,1,1
6.8,559.0,0,0,0,1,0
6.9,35.0,1,1,1,3,1
6.7,40.0,0,1,0,3,1
6.8,22.86,1,0,2,2,1
6.7,20.49,0,0,0,5,1
7.5,25.21,0,0,0,2,1
7.2,22.0,0,0,0,1,1
7.9,14.06,1,0,1,0,1
7.1,39.0,1,1,1,1,1
7.5,19.0,1,1,1,0,1
6.5,90.0,0,0,1,0,0
6.5,17.0,1,1,1,0,1
7.0,10.0,1,1,0,7,1
6.6,13.0,1,1,0,7,1
6.5,19.36,1,0,0,1,1
7.3,19.0,0,0,1,0,0
6.5,110.57,0,0,0,1,1
6.8,10.0,1,1,1,0,1
6.6,22.0,1,1,0,7,1
6.7,24.0,1,1,0,0,1
6.7,553.81,1,0,1,1,0
6.5,119.0,1,1,1,0,1
7.1,48.0,0,0,0,1,0
8.2,47.39,1,1,0,1,1
6.5,9.0,0,1,1,0,0
6.6,7.0,1,0,0,1,0
7.7,10.0,1,1,4,0,1
6.6,10.0,1,1,1,0,1
6.5,9.0,0,0,2,0,1
6.8,38.12,1,0,0,3,1
6.9,93.0,0,1,0,2,1
6.8,5.0,1,0,0,0,1
6.6,12.0,0,1,0,1,0
6.5,15.0,1,1,0,2,1
6.8,169.0,1,0,0,2,1
6.9,26.0,1,1,1,1,1
6.9,28.0,1,1,0,3,1
6.5,29.0,0,0,0,1,0
6.6,17.0,0,1,0,1,1
6.9,414.5,1,1,1,2,1
6.5,595.98,0,0,0,1,0
6.5,15.0,1,0,1,0,1
7.9,135.0,0,0,0,4,1
6.5,36.0,1,1,0,7,1
7.3,627.17,1,0,0,1,1
6.9,12.0,1,0,0,2,1
7.6,38.0,0,0,0,1,1
6.7,152.0,1,1,0,1,0
7.9,94.54,1,1,0,6,1
6.9,19.73,1,1,0,5,1
6.5,12.26,1,1,0,5,0
7.8,40.0,1,1,0,5,1
6.6,8.45,1,0,1,0,1
6.5,13.0,1,0,1,0,0
6.6,17.0,0,0,2,1,0
6.9,10.0,1,1,0,1,1
6.9,9.0,1,0,0,2,1
6.5,9.0,0,1,3,2,1
6.5,10.0,0,0,3,2,1
7.8,15.11,0,0,3,2,1
6.6,8.0,0,0,0,3,0
6.6,614.0,1,0,0,1,0
6.8,42.0,0,1,0,1,1
6.9,596.4,1,1,0,2,1
7.0,19.0,1,1,0,2,1
6.8,476.0,1,0,0,2,1
6.8,82.0,0,0,0,1,0
7.2,16.37,1,1,1,0,1
7.7,196.0,1,0,0,2,1
6.6,50.0,1,0,0,1,0
7.2,78.0,1,1,0,2,1
6.9,405.69,1,0,0,3,1
6.9,29.95,0,0,0,6,1
6.7,16.0,0,0,0,6,1
7.0,24.0,0,1,1,3,1
7.8,20.59,0,0,0,4,1
7.0,10.0,0,0,3,0,1
6.9,136.0,0,0,0,1,0
6.6,212.0,0,0,0,3,0
6.7,27.59,1,0,1,4,1
6.7,24.0,1,1,1,4,1
6.9,26.0,1,1,1,5,1
7.8,24.0,1,0,1,0,0
7.2,177.0,0,0,0,1,1
7.1,125.6,0,0,2,0,1
6.6,10.0,1,0,2,0,1
6.7,46.0,1,0,0,2,1
6.5,13.0,1,1,0,1,1
6.7,55.0,0,0,1,0,0
6.6,85.0,0,0,0,1,1
6.9,21.0,1,0,0,1,0
7.2,22.0,0,0,1,0,0
6.7,602.75,0,0,0,3,0
7.6,620.56,0,0,0,3,0
7.6,606.21,0,0,0,3,1
6.8,12.59,1,1,3,1,1
6.5,11.0,0,1,1,0,0
6.7,12.0,1,0,1,0,0
6.9,10.0,1,1,0,7,0
6.9,12.0,1,1,0,7,1
6.6,10.0,1,0,1,0,0
6.8,46.0,0,1,0,16,1
6.5,20.0,0,1,1,0,0
7.5,231.0,0,0,0,1,0
7.1,135.0,1,0,1,1,1
6.6,18.0,1,0,0,1,0
6.6,35.0,0,1,0,11,1
6.7,23.0,1,1,0,11,0
6.5,27.0,1,1,0,11,0
7.0,28.41,0,1,0,11,0
8.3,22.44,1,1,0,11,1
6.7,10.0,1,0,2,0,1
6.5,6.43,1,1,4,0,1
6.6,22.0,1,1,4,0,1
7.0,48.0,0,0,0,1,1
6.9,29.0,1,1,0,1,1
7.0,11.0,1,0,3,1,1
6.5,20.0,1,0,1,0,1
6.7,12.0,1,0,1,0,1
6.5,460.0,1,0,0,3,0
7.8,664.0,1,0,0,2,1
6.8,72.6,1,0,1,0,1
6.8,10.0,1,1,4,0,1
6.9,11.19,1,1,4,0,1
6.8,11.0,1,1,4,0,1
6.8,35.0,1,0,0,4,1
7.3,15.0,0,1,0,5,0
7.1,10.0,1,1,1,2,1
7.5,55.0,0,1,0,7,1
6.8,44.0,0,1,0,7,1
6.7,31.0,0,1,0,3,1
6.7,22.91,0,0,0,3,0
6.6,10.0,0,1,0,3,0
7.8,8.22,0,1,0,3,0
6.5,10.0,1,1,1,0,1
6.5,11.0,1,1,1,4,1
7.5,41.0,1,1,0,2,1
7.0,552.06,1,0,1,0,0
6.7,23.0,1,0,0,5,1
6.7,223.0,0,0,0,2,1
6.8,219.96,1,0,2,0,1
6.5,8.0,1,0,2,0,1
6.6,20.0,1,0,2,2,1
6.6,23.0,1,1,1,9,1
6.6,614.0,1,0,0,1,0
6.8,39.0,1,0,0,3,1
6.5,35.0,1,0,1,3,1
6.7,22.0,1,1,0,1,1
7.1,45.0,1,0,0,3,1
6.6,53.19,1,1,0,2,1
7.1,434.0,1,0,0,2,1
7.3,40.0,1,0,1,2,1
6.7,130.0,1,1,0,1,1
6.8,101.0,0,0,0,2,1
6.9,13.0,1,0,1,0,1
6.9,615.42,1,0,0,1,1
6.5,20.0,1,1,0,2,1
6.9,53.0,1,0,1,2,1
6.5,20.0,1,0,0,2,1
6.7,18.0,1,0,3,0,1
6.9,8.0,1,1,0,3,1
7.9,109.0,1,0,1,1,1
6.7,26.59,1,1,0,5,0
6.5,10.0,1,1,0,5,0
6.9,20.0,1,1,0,5,1
