날짜,평균습도
2020-03-01,71.8
2020-03-02,55.3
2020-03-03,57.0
2020-03-04,53.4
2020-03-05,47.5
2020-03-06,46.8
2020-03-07,39.5
2020-03-08,43.8
2020-03-09,37.6
2020-03-10,78.4
2020-03-11,41.8
2020-03-12,49.8
2020-03-13,41.0
2020-03-14,48.1
2020-03-15,48.3
2020-03-16,42.4
2020-03-17,65.8
2020-03-18,45.8
2020-03-19,49.0
2020-03-20,39.6
2020-03-21,56.5
2020-03-22,37.5
2020-03-23,37.9
2020-03-24,35.0
2020-03-25,33.6
2020-03-26,53.8
2020-03-27,56.4
2020-03-28,17.9
2020-03-29,30.6
2020-03-30,38.4
2020-03-31,34.5
2020-04-01,35.6
2020-04-02,41.4
2020-04-03,53.8
2020-04-04,36.4
2020-04-05,29.5
2020-04-06,38.3
2020-04-07,56.6
2020-04-08,25.5
2020-04-09,44.6
2020-04-10,52.6
2020-04-11,63.8
2020-04-12,58.6
2020-04-13,39.4
2020-04-14,46.8
2020-04-15,39.8
2020-04-16,39.9
2020-04-17,77.8
2020-04-18,67.9
2020-04-19,75.8
2020-04-20,73.0
2020-04-21,49.0
2020-04-22,46.8
2020-04-23,47.8
2020-04-24,55.6
2020-04-25,54.4
2020-04-26,43.1
2020-04-27,49.8
2020-04-28,50.0
2020-04-29,48.6
2020-04-30,57.1
2020-05-01,73.6
2020-05-02,79.6
2020-05-03,68.8
2020-05-04,63.9
2020-05-05,67.9
2020-05-06,50.0
2020-05-07,32.5
2020-05-08,32.8
2020-05-09,94.4
2020-05-10,88.6
2020-05-11,61.0
2020-05-12,69.4
2020-05-13,47.3
2020-05-14,35.4
2020-05-15,81.4
2020-05-16,90.3
2020-05-17,80.1
2020-05-18,79.4
2020-05-19,73.6
2020-05-20,60.4
2020-05-21,56.1
2020-05-22,68.5
2020-05-23,66.1
2020-05-24,84.8
2020-05-25,81.0
2020-05-26,81.9
2020-05-27,68.5
2020-05-28,62.8
2020-05-29,65.6
2020-05-30,57.3
2020-05-31,63.0
2020-06-01,64.3
2020-06-02,71.0
2020-06-03,73.3
2020-06-04,81.1
2020-06-05,69.4
2020-06-06,63.6
2020-06-07,69.4
2020-06-08,63.6
2020-06-09,51.6
2020-06-10,63.8
2020-06-11,68.3
2020-06-12,68.6
2020-06-13,52.8
2020-06-14,70.6
2020-06-15,62.3
2020-06-16,63.0
2020-06-17,58.6
2020-06-18,61.4
2020-06-19,61.4
2020-06-20,62.6
2020-06-21,59.5
2020-06-22,50.5
2020-06-23,53.5
2020-06-24,83.5
2020-06-25,91.0
2020-06-26,82.1
2020-06-27,70.4
2020-06-28,70.5
2020-06-29,77.0
2020-06-30,83.0
2020-07-01,79.3
2020-07-02,74.5
2020-07-03,63.5
2020-07-04,63.9
2020-07-05,68.6
2020-07-06,66.6
2020-07-07,75.5
2020-07-08,71.9
2020-07-09,64.6
2020-07-10,75.0
2020-07-11,62.6
2020-07-12,71.9
2020-07-13,94.8
2020-07-14,79.4
2020-07-15,63.1
2020-07-16,70.9
2020-07-17,72.0
2020-07-18,71.6
2020-07-19,81.6
2020-07-20,86.3
2020-07-21,77.0
2020-07-22,89.3
2020-07-23,95.5
2020-07-24,74.3
2020-07-25,69.3
2020-07-26,69.3
2020-07-27,86.4
2020-07-28,84.8
2020-07-29,95.8
2020-07-30,85.5
2020-07-31,81.9
2020-08-01,90.9
2020-08-02,96.3
2020-08-03,96.3
2020-08-04,89.3
2020-08-05,92.1
2020-08-06,92.8
2020-08-07,85.3
2020-08-08,89.5
2020-08-09,95.4
2020-08-10,91.6
2020-08-11,92.5
2020-08-12,83.9
2020-08-13,82.4
2020-08-14,86.1
2020-08-15,96.0
2020-08-16,82.6
2020-08-17,77.9
2020-08-18,76.3
2020-08-19,76.8
2020-08-20,76.0
2020-08-21,83.1
2020-08-22,87.4
2020-08-23,78.4
2020-08-24,71.6
2020-08-25,69.5
2020-08-26,68.3
2020-08-27,84.6
2020-08-28,89.1
2020-08-29,90.1
2020-08-30,88.8
2020-08-31,77.9
2020-09-01,72.4
2020-09-02,91.3
2020-09-03,82.0
2020-09-04,63.9
2020-09-05,66.6
2020-09-06,80.0
2020-09-07,93.5
2020-09-08,71.5
2020-09-09,83.4
2020-09-10,75.8
2020-09-11,72.6
2020-09-12,83.8
2020-09-13,70.4
2020-09-14,79.3
2020-09-15,76.4
2020-09-16,79.9
2020-09-17,70.3
2020-09-18,62.0
2020-09-19,59.3
2020-09-20,57.6
2020-09-21,56.1
2020-09-22,55.3
2020-09-23,59.9
2020-09-24,59.6
2020-09-25,64.1
2020-09-26,62.5
2020-09-27,63.3
2020-09-28,66.0
2020-09-29,67.6
2020-09-30,78.0
2020-10-01,74.9
2020-10-02,79.6
2020-10-03,72.5
2020-10-04,65.1
2020-10-05,57.3
2020-10-06,55.9
2020-10-07,48.9
2020-10-08,53.0
2020-10-09,53.4
2020-10-10,60.1
2020-10-11,68.5
2020-10-12,68.6
2020-10-13,52.3
2020-10-14,47.0
2020-10-15,41.8
2020-10-16,64.3
2020-10-17,64.3
2020-10-18,65.5
2020-10-19,74.4
2020-10-20,67.1
2020-10-21,69.4
2020-10-22,66.0
2020-10-23,51.5
2020-10-24,47.6
2020-10-25,62.5
2020-10-26,71.6
2020-10-27,74.1
2020-10-28,52.1
2020-10-29,40.3
2020-10-30,42.9
2020-10-31,60.3
