날짜,강수량
2023-05-01,0.0
2023-05-02,0.0
2023-05-03,0.0
2023-05-04,0.0
2023-05-05,30.2
2023-05-06,47.5
2023-05-07,0.0
2023-05-08,0.0
2023-05-09,0.0
2023-05-10,0.0
2023-05-11,0.0
2023-05-12,0.0
2023-05-13,0.0
2023-05-14,0.0
2023-05-15,0.0
2023-05-16,0.0
2023-05-17,0.0
2023-05-18,1.3
2023-05-19,0.0
2023-05-20,0.0
2023-05-21,0.2
2023-05-22,0.0
2023-05-23,0.0
2023-05-24,0.0
2023-05-25,0.0
2023-05-26,0.5
2023-05-27,31.8
2023-05-28,41.8
2023-05-29,2.3
2023-05-30,0.0
2023-05-31,0.0
2023-06-01,0.0
2023-06-02,0.0
2023-06-03,0.0
2023-06-04,0.0
2023-06-05,0.0
2023-06-06,0.0
2023-06-07,0.0
2023-06-08,1.9
2023-06-09,1.2
2023-06-10,0.8
2023-06-11,32.2
2023-06-12,0.0
2023-06-13,0.0
2023-06-14,30.6
2023-06-15,0.0
2023-06-16,0.0
2023-06-17,0.0
2023-06-18,0.0
2023-06-19,0.0
2023-06-20,6.4
2023-06-21,24.9
2023-06-22,0.0
2023-06-23,0.0
2023-06-24,0.0
2023-06-25,0.0
2023-06-26,30.3
2023-06-27,2.5
2023-06-28,0.0
2023-06-29,63.8
2023-06-30,1.0
2023-07-01,0.0
2023-07-02,0.0
2023-07-03,0.0
2023-07-04,61.8
2023-07-05,15.3
2023-07-06,0.0
2023-07-07,0.0
2023-07-08,0.0
2023-07-09,47.5
2023-07-10,11.5
2023-07-11,58.3
2023-07-12,0.7
2023-07-13,91.6
2023-07-14,72.7
2023-07-15,2.3
2023-07-16,9.7
2023-07-17,1.4
2023-07-18,2.3
2023-07-19,0.0
2023-07-20,0.0
2023-07-21,0.0
2023-07-22,12.3
2023-07-23,40.2
2023-07-24,0.4
2023-07-25,5.6
2023-07-26,1.0
2023-07-27,0.0
2023-07-28,0.0
2023-07-29,0.0
2023-07-30,25.0
2023-07-31,0.3
2023-08-01,0.0
2023-08-02,0.0
2023-08-03,0.0
2023-08-04,0.0
2023-08-05,0.0
2023-08-06,4.9
2023-08-07,0.0
2023-08-08,0.0
2023-08-09,0.2
2023-08-10,86.1
2023-08-11,46.7
2023-08-12,1.5
2023-08-13,0.0
2023-08-14,0.0
2023-08-15,0.0
2023-08-16,0.3
2023-08-17,0.0
2023-08-18,0.1
2023-08-19,0.0
2023-08-20,0.0
2023-08-21,0.0
2023-08-22,42.6
2023-08-23,41.8
2023-08-24,5.2
2023-08-25,0.0
2023-08-26,0.0
2023-08-27,0.0
2023-08-28,10.4
2023-08-29,54.8
2023-08-30,3.5
2023-08-31,0.0
2023-09-01,0.0
2023-09-02,0.0
2023-09-03,0.1
2023-09-04,0.3
2023-09-05,0.0
2023-09-06,0.0
2023-09-07,0.0
2023-09-08,0.0
2023-09-09,0.0
2023-09-10,0.0
2023-09-11,0.0
2023-09-12,0.0
2023-09-13,15.9
2023-09-14,0.0
2023-09-15,2.1
2023-09-16,38.7
2023-09-17,3.0
2023-09-18,0.0
2023-09-19,0.0
2023-09-20,35.8
2023-09-21,0.0
2023-09-22,0.0
2023-09-23,0.0
2023-09-24,0.0
2023-09-25,1.9
2023-09-26,27.8
2023-09-27,4.4
2023-09-28,0.0
2023-09-29,0.0
2023-09-30,4.5
2023-10-01,0.0
2023-10-02,0.0
2023-10-03,0.0
2023-10-04,14.7
2023-10-05,0.0
2023-10-06,0.0
2023-10-07,0.0
2023-10-08,0.0
2023-10-09,1.2
2023-10-10,0.0
2023-10-11,0.0
2023-10-12,0.0
2023-10-13,0.0
2023-10-14,5.8
2023-10-15,0.0
2023-10-16,0.0
2023-10-17,0.0
2023-10-18,0.0
2023-10-19,8.2
2023-10-20,0.0
2023-10-21,1.1
2023-10-22,0.0
2023-10-23,0.0
2023-10-24,0.0
2023-10-25,0.0
2023-10-26,0.0
2023-10-27,0.0
2023-10-28,0.0
2023-10-29,0.0
2023-10-30,0.0
2023-10-31,0.0
