기준일자,평균기온,최고기온,강수량,평균습도
20230501,14.6,20.8,0.0,57.0
20230502,16.7,23.7,0.0,40.5
20230503,19.5,26.2,0.0,52.5
20230504,21.4,25.8,0.0,65.5
20230505,18.4,21.6,30.2,95.3
20230506,12.6,15.5,47.5,85.6
20230507,14.4,18.6,0.0,47.1
20230508,15.3,22.0,0.0,55.3
20230509,17.0,24.4,0.0,55.4
20230510,18.4,26.0,0.0,53.3
20230511,19.5,26.7,0.0,50.1
20230512,18.4,24.7,0.0,50.9
20230513,17.8,23.9,0.0,62.0
20230514,18.1,23.8,0.0,56.5
20230515,20.6,27.9,0.0,54.6
20230516,24.0,31.2,0.0,51.9
20230517,23.5,28.7,0.0,63.6
20230518,21.2,27.6,1.3,74.8
20230519,22.3,27.8,0.0,61.4
20230520,21.2,26.7,0.0,66.9
20230521,17.8,21.9,0.2,74.0
20230522,20.3,26.8,0.0,61.3
20230523,20.5,26.9,0.0,48.0
20230524,20.6,25.9,0.0,49.8
20230525,21.2,27.4,0.0,46.6
20230526,21.4,27.3,0.5,57.4
20230527,19.3,20.7,31.8,87.4
20230528,19.2,20.2,41.8,98.9
20230529,23.2,28.5,2.3,83.4
20230530,24.0,28.9,0.0,69.5
20230531,22.8,28.2,0.0,60.8
20230601,22.8,26.3,0.0,66.9
20230602,20.4,25.0,0.0,77.4
20230603,22.0,27.8,0.0,60.1
20230604,22.1,28.0,0.0,61.0
20230605,21.5,26.3,0.0,66.9
20230606,20.3,25.2,0.0,72.9
20230607,21.4,25.7,0.0,75.3
20230608,20.4,23.9,1.9,80.5
20230609,23.3,28.4,1.2,64.0
20230610,23.2,28.5,0.8,70.0
20230611,22.1,27.3,32.2,76.1
20230612,22.2,27.5,0.0,70.5
20230613,22.0,26.0,0.0,70.0
20230614,20.6,25.0,30.6,80.3
20230615,22.7,28.3,0.0,70.8
20230616,23.7,28.9,0.0,64.4
20230617,24.2,30.2,0.0,57.1
20230618,25.9,32.6,0.0,60.5
20230619,28.5,34.0,0.0,57.8
20230620,24.7,26.4,6.4,64.5
20230621,20.5,22.1,24.9,92.6
20230622,22.5,26.4,0.0,77.1
20230623,24.4,29.9,0.0,76.6
20230624,26.4,31.1,0.0,70.5
20230625,28.2,33.1,0.0,64.9
20230626,24.2,27.5,30.3,88.6
20230627,25.3,29.1,2.5,73.1
20230628,26.5,30.1,0.0,77.4
20230629,24.2,25.9,63.8,95.4
20230630,25.3,29.1,1.0,89.8
20230701,27.7,32.9,0.0,76.9
20230702,26.7,30.6,0.0,79.5
20230703,29.1,34.9,0.0,72.0
20230704,26.1,29.2,61.8,86.8
20230705,24.5,27.1,15.3,82.6
20230706,27.3,31.8,0.0,70.9
20230707,26.7,31.4,0.0,64.9
20230708,25.6,29.7,0.0,76.5
20230709,24.7,27.0,47.5,86.4
20230710,26.3,30.9,11.5,80.4
20230711,23.5,25.9,58.3,92.4
20230712,25.8,29.1,0.7,86.4
20230713,25.2,26.5,91.6,95.0
20230714,24.6,25.1,72.7,99.1
20230715,24.5,25.7,2.3,93.5
20230716,24.6,25.4,9.7,89.5
20230717,25.5,27.8,1.4,86.1
